t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.37509449926568994,2.604423221709341,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.37090215491149925,2.6524389605958896,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.372766186077945,2.821440391371122,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.3745830312179699,2.8566536466624672,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.4228604146206969,2.935215870145607,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.9215576278334199,2.516116389098496,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.9186728316101744,2.5201835070238356,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.9139389146574044,2.554731041287111,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.37613042941300456,3.118749091994647,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.920424904804698,2.590561187076949,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.39619262290807944,3.178952975054555,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.40082293818043757,3.384562014644241,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.38210569592425125,3.4991743730790623,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.37884642324862616,3.522676130376846,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.38331378117521453,3.5631863662395316,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.5436470088263179,3.6123579665942853,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.5993370296845404,3.6630369322124583,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.48880782453234906,3.7896535184745326,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.447944538016694,3.8714702847477476,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,1.6309908162936058,2.714888527609652,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,1.6871418331532317,2.668918015491371,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,1.6250868776101424,2.7842002291227805,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,1.573756729215769,2.8406799319644307,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.636316014790165,3.8903095194910837,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.6899810933684631,3.9530447689035957,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.663607099853845,4.01645986865678,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.6661902295732824,4.024270230843647,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.8487989656568997,4.073848382645703,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.8631779234178856,4.152831428890224,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.7146319721578465,4.3463255284352105,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.6742467797085796,4.404046460866125,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,2.3221326538091223,2.934019034027422,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,2.26734390800223,3.0015315574230472,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,2.3275573276327735,3.0055114685829314,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,2.2667412367094646,3.073857439248252,104857600,python-pi,faas-workloads/python-pi,rockpi_25,139685468264176
0.0,0.8814909176954284,4.506247593144801,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.8906407387006601,4.544088216601005,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.8717590640262856,4.590278476082574,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
0.0,0.9353422517138359,4.546117955668384,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,139685468006640
