avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count,timestamp,deployment_name
406.7842768340231,390.8142910350718,15.9699857989513,3.925910294086269,15,213,40,resnet50-inference
398.88191634680186,389.99723296342614,8.884683383375743,2.227396885962383,3,100,45,resnet50-inference
398.16261238691106,389.35873287909067,8.803879507820403,2.2111266186050913,8,236,75,resnet50-inference
400.9599876668157,389.9336081023529,11.026379564462855,2.749994987935157,4,112,80,resnet50-inference
404.84512881536887,389.32550173075373,15.519627084615113,3.833472599763673,13,229,110,resnet50-inference
400.699078614142,388.09093912358634,12.608139490555514,3.146535683127106,6,108,115,resnet50-inference
405.859436246626,390.96518005236635,14.894256194259633,3.6698065547030763,15,221,145,resnet50-inference
413.5219720855336,391.8740120254201,21.647960060113554,5.235020511953801,10,110,150,resnet50-inference
402.73278980035604,391.3882047219337,11.344585078422366,2.816901271944144,10,218,180,resnet50-inference
402.67213391532056,391.5157357443908,11.156398170929801,2.770591066844452,3,107,185,resnet50-inference
414.2249838441166,390.9649310986124,23.260052745504257,5.615318643903335,30,222,215,resnet50-inference
402.2858176347782,390.92986465455414,11.355952980224085,2.8228569048222756,6,99,220,resnet50-inference
412.6210419525834,390.13486508091466,22.486176871668757,5.449595290938354,24,232,250,resnet50-inference
415.7451090003808,389.66303132078707,26.082077679593738,6.2735741479450216,15,113,255,resnet50-inference
407.23289725719155,389.5933540525496,17.639543204641956,4.33156145376476,19,219,285,resnet50-inference
401.1407560720187,390.2792005666377,10.861555505380979,2.7076669076803936,6,92,290,resnet50-inference
409.43390062547695,390.67569337905235,18.75820724642464,4.581498312125211,19,232,320,resnet50-inference
408.28538269610084,392.30454709607307,15.980835600027733,3.9141336617291427,6,105,325,resnet50-inference
397.6972187568612,389.3155128740809,8.381705882780397,2.1075595924407735,7,205,355,resnet50-inference
397.50284289722697,387.2730054149321,10.229837482294993,2.5735256149953836,5,95,360,resnet50-inference
422.4990064828534,389.01422041833547,33.48478606451794,7.925411788128519,32,218,390,resnet50-inference
398.5179058641298,390.5028737659248,8.015032098204967,2.011210031033738,4,114,395,resnet50-inference
412.6816632204687,388.8928987755226,23.78876444494618,5.764434566659534,16,181,425,resnet50-inference
405.6724786353085,389.343184950142,16.329293685166387,4.025240691727106,5,79,430,resnet50-inference
438.9697298139612,390.23304821481526,48.73668159914588,11.102515341957831,41,214,460,resnet50-inference
445.21577040706677,389.76110166240085,55.4546687446659,12.4556838348208,18,93,465,resnet50-inference
416.1059229069525,389.19637037604804,26.909552530904477,6.466995793501804,33,242,495,resnet50-inference
415.9146102146236,387.8749934554174,28.039616759206258,6.741676313014594,17,123,500,resnet50-inference
439.6605889650988,395.6153606318361,44.045228333262756,10.018006944161002,13,59,40,resnet50-inference-downtown
425.2300086793862,397.0293196935978,28.200688985788307,6.631867086090574,3,23,45,resnet50-inference-downtown
407.69663670148844,390.89068208889864,16.805954612589876,4.122171511778998,5,78,75,resnet50-inference-downtown
414.4997651084191,394.48936904030984,20.01039606810925,4.827601304641321,2,37,80,resnet50-inference-downtown
422.0969643118816,393.17764536095046,28.9193189509313,6.851344926888224,6,62,110,resnet50-inference-downtown
421.2185560798787,391.4909012794606,29.727654800417987,7.057536846686431,3,27,115,resnet50-inference-downtown
428.3674511664073,394.31755030595883,34.04990086044852,7.948760058154185,10,65,145,resnet50-inference-downtown
452.4211857736264,396.0981072229101,56.32307855071628,12.44925753297904,9,35,150,resnet50-inference-downtown
407.31284235713923,393.8204192778712,13.492423079268027,3.312545462889586,2,56,180,resnet50-inference-downtown
419.2025358453918,396.3130759243882,22.889459921003663,5.460238897372901,2,30,185,resnet50-inference-downtown
446.04605722573405,393.3643978909642,52.68165933476981,11.810811570095057,21,65,215,resnet50-inference-downtown
414.75607494750983,395.17771453225333,19.57836041525653,4.720451754138695,4,31,220,resnet50-inference-downtown
441.8791470998949,393.63259734676177,48.246549753133145,10.918494359777092,14,67,250,resnet50-inference-downtown
444.7243919578132,392.8672171676273,51.85717479018592,11.660519577506133,7,30,255,resnet50-inference-downtown
432.0947288200856,393.79066879839087,38.304060021694745,8.864736703984113,11,61,285,resnet50-inference-downtown
411.4440350230484,394.3151750570106,17.128859966037776,4.1631081041382085,3,28,290,resnet50-inference-downtown
429.1271703219068,391.29958915185887,37.82758117004797,8.815004918395605,12,67,320,resnet50-inference-downtown
420.48429381603404,393.21047384867495,27.273819967359124,6.486287447229048,3,29,325,resnet50-inference-downtown
394.00738454188433,390.7105811051022,3.296803436782135,0.8367364587888007,0,58,355,resnet50-inference-downtown
396.9620414690035,389.88001927147155,7.082022197531994,1.7840552641567844,0,27,360,resnet50-inference-downtown
471.94975292246335,390.9926503328581,80.95710258960528,17.153754629236076,26,72,390,resnet50-inference-downtown
402.0198510244647,394.3779604582453,7.641890566219445,1.9008739361366516,1,33,395,resnet50-inference-downtown
400.00722698692925,389.92137327850565,10.085853708423592,2.5214178714708972,3,57,425,resnet50-inference-downtown
389.4663209536149,389.4663209536149,0.0,0.0,0,22,430,resnet50-inference-downtown
485.2421317374673,392.7018174550388,92.54031428242845,19.070956174204586,24,72,460,resnet50-inference-downtown
523.6626014269326,393.8984084054866,129.76419302144583,24.78011465165744,16,37,465,resnet50-inference-downtown
449.91421934940405,391.6422585815169,58.27196076788715,12.951793533476447,21,74,495,resnet50-inference-downtown
453.44606185158483,391.2604372702035,62.185624581381475,13.71400698187895,12,39,500,resnet50-inference-downtown
399.2502852772484,385.08404327232785,14.166242004920552,3.54821086604439,2,51,40,resnet50-inference-industrial
