value,name,function_id
deploy,resnet50-inference,140302076021296
deploy,resnet50-inference-downtown,140302076022352
deploy,resnet50-inference-suburb,140302076023552
deploy,resnet50-inference-industrial,140302076024752
deploy,resnet50-inference-residential,140302076025952
deploy,speech-inference,140302076027152
deploy,speech-inference-downtown,140302076028352
deploy,speech-inference-suburb,140302076029552
deploy,speech-inference-industrial,140302076030752
deploy,resnet50-preprocessing,140302076031952
deploy,resnet50-preprocessing-downtown,140302076032768
deploy,resnet50-preprocessing-suburb,140302076033584
deploy,resnet50-preprocessing-industrial,140302076034400
deploy,resnet50-training,140302076100816
deploy,resnet50-training-downtown,140302076102016
