FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  rpi3_174: 48 invocations (0.0%)
  rockpi_92: 714 invocations (0.7%)
  rpi4_94: 72 invocations (0.1%)
  rpi4_99: 200 invocations (0.2%)
  rpi4_98: 200 invocations (0.2%)
  rpi4_169: 72 invocations (0.1%)
  rpi3_31: 47 invocations (0.0%)
  rpi4_168: 71 invocations (0.1%)
  rpi3_32: 44 invocations (0.0%)
  rpi3_30: 45 invocations (0.0%)
  rockpi_70: 351 invocations (0.3%)
  coral_7: 128 invocations (0.1%)
  rpi4_155: 68 invocations (0.1%)
  rpi4_23: 68 invocations (0.1%)
  rpi4_22: 68 invocations (0.1%)
  rpi4_154: 68 invocations (0.1%)
  rockpi_71: 626 invocations (0.6%)
  rockpi_84: 687 invocations (0.7%)
  rockpi_79: 254 invocations (0.2%)
  rpi3_52: 44 invocations (0.0%)
  rpi3_51: 44 invocations (0.0%)
  rockpi_35: 295 invocations (0.3%)
  rockpi_61: 259 invocations (0.2%)
  rockpi_98: 244 invocations (0.2%)
  rpi4_73: 68 invocations (0.1%)
  rpi4_72: 68 invocations (0.1%)
  rpi3_11: 44 invocations (0.0%)
  rpi3_9: 44 invocations (0.0%)
  rockpi_53: 587 invocations (0.6%)
  rpi3_10: 44 invocations (0.0%)
  rockpi_11: 283 invocations (0.3%)
  rockpi_28: 230 invocations (0.2%)
  rockpi_43: 243 invocations (0.2%)
  rockpi_59: 561 invocations (0.5%)
  rockpi_65: 278 invocations (0.3%)
  rockpi_56: 234 invocations (0.2%)
  rockpi_27: 221 invocations (0.2%)
  rpi4_147: 64 invocations (0.1%)
  rpi4_166: 64 invocations (0.1%)
  rpi3_142: 41 invocations (0.0%)
  rpi4_60: 64 invocations (0.1%)
  rpi3_141: 41 invocations (0.0%)
  rpi3_149: 244 invocations (0.2%)
  rpi4_167: 64 invocations (0.1%)
  rpi4_80: 419 invocations (0.4%)
  rpi4_38: 440 invocations (0.4%)
  rpi4_81: 441 invocations (0.4%)
  rockpi_30: 273 invocations (0.3%)
  rpi3_143: 41 invocations (0.0%)
  rpi3_148: 244 invocations (0.2%)
  rockpi_60: 226 invocations (0.2%)
  rockpi_9: 626 invocations (0.6%)
  rockpi_80: 262 invocations (0.2%)
  rockpi_22: 307 invocations (0.3%)
  rpi4_135: 60 invocations (0.1%)
  rockpi_97: 302 invocations (0.3%)
  rockpi_44: 258 invocations (0.2%)
  rockpi_48: 599 invocations (0.6%)
  rockpi_13: 247 invocations (0.2%)
  rpi3_98: 37 invocations (0.0%)
  rpi3_96: 37 invocations (0.0%)
  rpi3_152: 37 invocations (0.0%)
  rpi3_97: 36 invocations (0.0%)
  rpi3_90: 68 invocations (0.1%)
  rpi3_140: 68 invocations (0.1%)
  rpi4_164: 56 invocations (0.1%)
  rpi4_165: 56 invocations (0.1%)
  rpi4_172: 160 invocations (0.2%)
  rpi4_62: 160 invocations (0.2%)
  rpi4_173: 160 invocations (0.2%)
  rpi4_19: 56 invocations (0.1%)
  rpi4_18: 56 invocations (0.1%)
  rpi4_17: 56 invocations (0.1%)
  rpi4_44: 357 invocations (0.3%)
  rpi4_151: 409 invocations (0.4%)
  rpi3_144: 36 invocations (0.0%)
  rpi3_145: 36 invocations (0.0%)
  rpi3_137: 64 invocations (0.1%)
  rpi3_82: 207 invocations (0.2%)
  rpi3_83: 208 invocations (0.2%)
  rpi3_81: 207 invocations (0.2%)
  rockpi_90: 512 invocations (0.5%)
  rpi3_123: 60 invocations (0.1%)
  rpi3_124: 60 invocations (0.1%)
  rpi3_125: 60 invocations (0.1%)
  rockpi_14: 483 invocations (0.5%)
  rpi3_33: 56 invocations (0.1%)
  rpi3_34: 56 invocations (0.1%)
  rpi4_48: 136 invocations (0.1%)
  rpi4_58: 291 invocations (0.3%)
  rockpi_33: 374 invocations (0.4%)
  rpi3_59: 53 invocations (0.1%)
  rpi4_137: 128 invocations (0.1%)
  rpi4_136: 128 invocations (0.1%)
  rpi4_50: 296 invocations (0.3%)
