FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=   7.0s | replica    | rpi3_55              | speech-inference-industrial | deploy replica of speech-inference-industrial
t=   7.0s | network    | rpi4_34 → rockpi_22  | unknown                   | data_download (45.8 MB)
t=   7.1s | network    | registry → rpi3_36   | unknown                   | docker_pull (66.8 MB)
t=   7.2s | network    | registry → rpi3_37   | unknown                   | docker_pull (66.8 MB)
t=   7.3s | network    | registry → rpi3_51   | unknown                   | docker_pull (66.8 MB)
t=   7.4s | network    | registry → rpi3_38   | unknown                   | docker_pull (66.8 MB)
t=   7.5s | network    | registry → rpi3_52   | unknown                   | docker_pull (66.8 MB)
t=   7.6s | network    | registry → rpi4_4    | unknown                   | docker_pull (130.7 MB)
t=   7.7s | network    | registry → rpi4_5    | unknown                   | docker_pull (130.7 MB)
t=   7.8s | network    | registry → rpi4_50   | unknown                   | docker_pull (130.7 MB)
t=   7.9s | network    | registry → rpi4_51   | unknown                   | docker_pull (130.7 MB)
t=   8.0s | replica    | rpi3_56              | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=   8.0s | network    | registry → nuc_4     | unknown                   | docker_pull (190.7 MB)
t=   8.1s | network    | registry → nuc_5     | unknown                   | docker_pull (190.7 MB)
t=   8.2s | network    | registry → rpi3_53   | unknown                   | docker_pull (31.5 MB)
t=   8.3s | network    | registry → rpi4_0    | unknown                   | docker_pull (31.5 MB)
t=   8.4s | network    | registry → rpi4_1    | unknown                   | docker_pull (31.5 MB)
t=   8.5s | network    | registry → rpi4_46   | unknown                   | docker_pull (66.8 MB)
t=   8.6s | network    | registry → rpi4_47   | unknown                   | docker_pull (66.8 MB)
t=   8.7s | network    | registry → rpi3_15   | unknown                   | docker_pull (66.8 MB)
t=   8.8s | network    | registry → rockpi_8  | unknown                   | docker_pull (38.1 MB)
t=   8.9s | network    | registry → coral_3   | unknown                   | docker_pull (80.1 MB)
t=   9.0s | replica    | rockpi_14            | resnet50-preprocessing-downtown | deploy replica of resnet50-preprocessing-downtown
t=   9.0s | network    | rpi4_34 → nuc_2      | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | rpi4_34 → nuc_3      | unknown                   | data_download (55.3 MB)
t=   9.2s | network    | rpi4_34 → nuc_2      | unknown                   | data_download (55.3 MB)
t=   9.3s | network    | registry → rockpi_15 | unknown                   | docker_pull (182.2 MB)
t=   9.4s | network    | registry → coral_2   | unknown                   | docker_pull (182.2 MB)
t=   9.5s | network    | registry → nuc_6     | unknown                   | docker_pull (190.7 MB)
t=   9.6s | network    | registry → nuc_7     | unknown                   | docker_pull (190.7 MB)
t=   9.7s | network    | rpi4_34 → nuc_3      | unknown                   | data_download (55.3 MB)
t=   9.8s | network    | rpi4_34 → nuc_2      | unknown                   | data_download (55.3 MB)
t=   9.9s | network    | registry → rockpi_8  | unknown                   | docker_pull (182.2 MB)
t=  10.0s | replica    | rockpi_14            | resnet50-preprocessing-suburb | deploy replica of resnet50-preprocessing-suburb
t=  10.0s | network    | rpi4_34 → nuc_3      | unknown                   | data_download (55.3 MB)
t=  10.1s | network    | rpi4_34 → nuc_3      | unknown                   | data_download (55.3 MB)
t=  10.2s | network    | rpi4_34 → nuc_2      | unknown                   | data_download (55.3 MB)
