value,name,function_id
deploy,resnet50-inference,139968071451408
deploy,resnet50-inference-downtown,139968071245872
deploy,resnet50-inference-suburb,139968071246192
deploy,resnet50-inference-industrial,139968073060224
deploy,resnet50-inference-residential,139968071485904
deploy,resnet50-inference-commercial,139968071486160
deploy,resnet50-inference-airport,139968073218240
deploy,resnet50-inference-port,139968073218576
deploy,resnet50-inference-university,139968073218912
deploy,speech-inference,139968073219024
deploy,speech-inference-downtown,139968073219136
deploy,speech-inference-suburb,139968073219248
deploy,speech-inference-industrial,139968073219360
deploy,speech-inference-residential,139968073219584
deploy,speech-inference-commercial,139968073219808
deploy,speech-inference-airport,139968073219920
deploy,speech-inference-port,139968071532624
deploy,resnet50-preprocessing,139968071532736
deploy,resnet50-preprocessing-downtown,139968071532848
deploy,resnet50-preprocessing-suburb,139968071532960
deploy,resnet50-preprocessing-industrial,139968071533072
deploy,resnet50-preprocessing-residential,139968071533184
deploy,resnet50-preprocessing-commercial,139968071533296
deploy,resnet50-preprocessing-airport,139968071533408
deploy,resnet50-preprocessing-port,139968071533520
deploy,resnet50-training,139968071533632
deploy,resnet50-training-downtown,139968071533744
deploy,resnet50-training-suburb,139968071533856
deploy,resnet50-training-industrial,139968071533968
deploy,resnet50-training-residential,139968071534080
