FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-24 15:46:08

Total deployment events: 1580
Number of node-function combinations: 230

Event Type Summary:
  Deployment events: 4
  Replica events: 957
  Network events: 619

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   3.6s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   3.7s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   3.8s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   3.9s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   4.0s | replica    | nx_0                 | resnet50-training-downtown | finish replica of resnet50-training-downtown
t=   4.0s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   4.1s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   4.2s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   4.3s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   4.4s | network    | registry → tx2_2     | unknown                   | docker_pull (95.4 MB)
t=   4.5s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   4.6s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   4.7s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   4.8s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   4.9s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   5.0s | replica    | nx_1                 | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t=   5.0s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   5.1s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   5.2s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   5.3s | network    | registry → tx2_3     | unknown                   | docker_pull (95.4 MB)
t=   5.4s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   5.5s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   5.6s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   5.7s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   5.8s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   5.9s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=   6.0s | replica    | nx_1                 | resnet50-training-industrial | deploy replica of resnet50-training-industrial
t=   6.0s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   6.1s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=   6.2s | network    | registry → xeongpu_0 | unknown                   | docker_pull (190.7 MB)
t=   6.3s | network    | registry → xeongpu_1 | unknown                   | docker_pull (190.7 MB)
t=   6.4s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   6.5s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   6.6s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.7s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.8s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.9s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   7.0s | replica    | nx_1                 | resnet50-training-industrial | startup replica of resnet50-training-industrial
t=   7.0s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.1s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.2s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.3s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.4s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.5s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   7.6s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   7.7s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=   7.8s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   7.9s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   8.0s | replica    | nx_1                 | resnet50-training-industrial | setup replica of resnet50-training-industrial
t=   8.0s | network    | registry → xeongpu_2 | unknown                   | docker_pull (190.7 MB)
t=   8.1s | network    | registry → xeongpu_3 | unknown                   | docker_pull (190.7 MB)
t=   8.2s | network    | registry → xeongpu_4 | unknown                   | docker_pull (190.7 MB)
t=   8.3s | network    | registry → xeongpu_5 | unknown                   | docker_pull (190.7 MB)
t=   8.4s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   8.5s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   8.6s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   8.7s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   8.8s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=   8.9s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=   9.0s | replica    | nx_1                 | resnet50-training-industrial | finish replica of resnet50-training-industrial
t=   9.0s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=   9.2s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=   9.3s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=   9.4s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=   9.5s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=   9.6s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=   9.7s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=   9.8s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=   9.9s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  10.0s | replica    | nx_0                 | resnet50-training         | startup replica of resnet50-training
t=  10.0s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.1s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  10.2s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  10.3s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.4s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.5s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  10.6s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  10.7s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  10.8s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  10.9s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.0s | replica    | nx_0                 | resnet50-training         | setup replica of resnet50-training
t=  11.0s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.1s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  11.2s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  11.3s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.4s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  11.5s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  11.6s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  11.7s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  11.8s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  11.9s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.0s | replica    | nx_0                 | resnet50-training         | finish replica of resnet50-training
t=  12.0s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  12.1s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.2s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.3s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.4s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.5s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  12.6s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  12.7s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  12.8s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  12.9s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  13.0s | replica    | nx_1                 | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t=  13.0s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  13.1s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  13.2s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
t=  13.3s | network    | nuc_9 → nano_1       | unknown                   | data_download (55.3 MB)
