value,name,function_id
deploy,resnet50-inference,139944924851136
deploy,resnet50-inference-downtown,139944924852192
deploy,resnet50-inference-suburb,139944924853392
deploy,resnet50-inference-industrial,139944924854592
deploy,resnet50-inference-residential,139944924855792
deploy,resnet50-inference-commercial,139944924873440
deploy,resnet50-inference-airport,139944924874640
deploy,resnet50-inference-port,139944924875840
deploy,speech-inference,139944924877040
deploy,speech-inference-downtown,139944924878240
deploy,speech-inference-suburb,139944924879440
deploy,speech-inference-industrial,139944924880640
deploy,speech-inference-residential,139944924881840
deploy,speech-inference-commercial,139944924883040
deploy,resnet50-preprocessing,139944924884240
deploy,resnet50-preprocessing-downtown,139944924885056
deploy,resnet50-preprocessing-suburb,139944924885872
deploy,resnet50-preprocessing-industrial,139944924886688
deploy,resnet50-preprocessing-residential,139944924887504
deploy,resnet50-preprocessing-commercial,139944924888320
deploy,resnet50-preprocessing-airport,139944924938352
deploy,resnet50-preprocessing-port,139944924939168
