name,type
resnet50-inference,deploy
resnet50-inference-downtown,deploy
resnet50-inference-suburb,deploy
resnet50-inference-industrial,deploy
resnet50-inference-residential,deploy
resnet50-inference-commercial,deploy
resnet50-inference-airport,deploy
resnet50-inference-port,deploy
resnet50-inference-university,deploy
resnet50-inference-hospital,deploy
resnet50-inference-mall,deploy
resnet50-inference-stadium,deploy
resnet50-inference-park,deploy
resnet50-inference-transit,deploy
resnet50-inference-highway,deploy
resnet50-inference-border,deploy
resnet50-inference-zone16,deploy
resnet50-inference-zone17,deploy
resnet50-inference-zone18,deploy
resnet50-inference-zone19,deploy
speech-inference,deploy
speech-inference-downtown,deploy
speech-inference-suburb,deploy
speech-inference-industrial,deploy
speech-inference-residential,deploy
speech-inference-commercial,deploy
speech-inference-airport,deploy
speech-inference-port,deploy
speech-inference-university,deploy
speech-inference-hospital,deploy
speech-inference-mall,deploy
speech-inference-stadium,deploy
speech-inference-park,deploy
speech-inference-transit,deploy
speech-inference-highway,deploy
speech-inference-border,deploy
speech-inference-zone16,deploy
speech-inference-zone17,deploy
speech-inference-zone18,deploy
speech-inference-zone19,deploy
resnet50-preprocessing,deploy
resnet50-preprocessing-downtown,deploy
resnet50-preprocessing-suburb,deploy
resnet50-preprocessing-industrial,deploy
resnet50-preprocessing-residential,deploy
resnet50-preprocessing-commercial,deploy
resnet50-preprocessing-airport,deploy
resnet50-preprocessing-port,deploy
resnet50-preprocessing-university,deploy
resnet50-preprocessing-hospital,deploy
resnet50-preprocessing-mall,deploy
resnet50-preprocessing-stadium,deploy
resnet50-preprocessing-park,deploy
resnet50-preprocessing-transit,deploy
resnet50-preprocessing-highway,deploy
resnet50-training,deploy
resnet50-training-downtown,deploy
resnet50-training-suburb,deploy
resnet50-training-industrial,deploy
resnet50-training-residential,deploy
resnet50-training-commercial,deploy
resnet50-training-airport,deploy
resnet50-training-port,deploy
resnet50-training-university,deploy
resnet50-training-hospital,deploy
resnet50-training-mall,deploy
resnet50-training-stadium,deploy
resnet50-training-park,deploy
resnet50-training-transit,deploy
resnet50-training-highway,deploy
resnet50-training-border,deploy
resnet50-training-zone16,deploy
resnet50-training-zone17,deploy
