timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
60,KubernetesStyleFirstFit,python-pi,12,25.8,0.0,scaling_check
60,KubernetesStyleFirstFit,fio,11,26.8,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-inference,13,26.4,0.0,scaling_check
65,KubernetesStyleFirstFit,speech-inference,2,6.0,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-preprocessing,1,5.8,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-training,1,11.0,0.0,scaling_check
65,KubernetesStyleFirstFit,python-pi,13,31.2,0.0,scaling_check
65,KubernetesStyleFirstFit,fio,12,25.4,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-inference,14,16.6,0.0,scaling_check
70,KubernetesStyleFirstFit,speech-inference,2,4.4,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-preprocessing,1,4.4,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-training,1,17.0,0.0,scaling_check
70,KubernetesStyleFirstFit,python-pi,14,28.6,0.0,scaling_check
70,KubernetesStyleFirstFit,fio,13,28.8,0.0,scaling_check
75,KubernetesStyleFirstFit,resnet50-inference,14,23.2,651.3072895042694,scaling_check
75,KubernetesStyleFirstFit,speech-inference,2,4.0,36037.265419686766,scaling_check
75,KubernetesStyleFirstFit,resnet50-preprocessing,1,5.8,0.0,scaling_check
75,KubernetesStyleFirstFit,resnet50-training,1,17.2,0.0,scaling_check
75,KubernetesStyleFirstFit,python-pi,15,29.6,13586.419836590423,scaling_check
75,KubernetesStyleFirstFit,fio,14,28.0,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-inference,15,20.8,567.0778614435317,scaling_check
80,KubernetesStyleFirstFit,speech-inference,3,4.8,57792.75016051279,scaling_check
80,KubernetesStyleFirstFit,resnet50-preprocessing,1,4.8,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-training,1,12.4,0.0,scaling_check
80,KubernetesStyleFirstFit,python-pi,16,26.6,12921.38422614002,scaling_check
80,KubernetesStyleFirstFit,fio,15,26.2,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-inference,16,22.0,0.0,scaling_check
85,KubernetesStyleFirstFit,speech-inference,4,5.0,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-preprocessing,1,5.2,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-training,1,15.6,0.0,scaling_check
85,KubernetesStyleFirstFit,python-pi,17,28.4,0.0,scaling_check
85,KubernetesStyleFirstFit,fio,16,27.2,0.0,scaling_check
