FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  rpi3_162: 100 invocations (0.1%)
  rpi3_133: 98 invocations (0.1%)
  rpi3_134: 97 invocations (0.1%)
  rpi3_173: 89 invocations (0.1%)
  rockpi_3: 216 invocations (0.2%)
  rpi4_132: 68 invocations (0.1%)
  rpi4_109: 68 invocations (0.1%)
  rockpi_48: 213 invocations (0.2%)
  rpi3_112: 44 invocations (0.0%)
  rpi4_98: 68 invocations (0.1%)
  rpi3_113: 44 invocations (0.0%)
  rpi4_122: 66 invocations (0.1%)
  rpi4_113: 67 invocations (0.1%)
  rpi4_123: 66 invocations (0.1%)
  rpi3_42: 43 invocations (0.0%)
  rpi4_172: 68 invocations (0.1%)
  rpi4_62: 68 invocations (0.1%)
  rpi4_173: 69 invocations (0.1%)
  rpi4_63: 68 invocations (0.1%)
  rpi3_3: 41 invocations (0.0%)
  rpi3_4: 43 invocations (0.0%)
  rpi4_142: 64 invocations (0.1%)
  rpi4_177: 64 invocations (0.1%)
  rockpi_66: 639 invocations (0.5%)
  rockpi_4: 638 invocations (0.5%)
  rpi4_143: 64 invocations (0.1%)
  rpi4_30: 64 invocations (0.1%)
  rpi4_74: 180 invocations (0.1%)
  rpi4_75: 180 invocations (0.1%)
  xeongpu_1: 4114 invocations (3.3%)
  xeongpu_0: 4971 invocations (4.0%)
  rockpi_40: 538 invocations (0.4%)
  rpi4_119: 152 invocations (0.1%)
  rpi4_118: 150 invocations (0.1%)
  coral_3: 140 invocations (0.1%)
  coral_2: 140 invocations (0.1%)
  xeoncpu_8: 93 invocations (0.1%)
  xeoncpu_7: 140 invocations (0.1%)
  xeoncpu_9: 101 invocations (0.1%)
  xeoncpu_6: 94 invocations (0.1%)
  xeoncpu_19: 98 invocations (0.1%)
  xeoncpu_17: 135 invocations (0.1%)
  xeoncpu_16: 91 invocations (0.1%)
  xeoncpu_18: 89 invocations (0.1%)
  xeoncpu_27: 133 invocations (0.1%)
  xeoncpu_26: 89 invocations (0.1%)
  xeoncpu_29: 96 invocations (0.1%)
  xeoncpu_38: 88 invocations (0.1%)
  xeoncpu_28: 88 invocations (0.1%)
  xeoncpu_37: 132 invocations (0.1%)
  xeoncpu_47: 132 invocations (0.1%)
  xeoncpu_46: 88 invocations (0.1%)
  xeoncpu_36: 88 invocations (0.1%)
  xeoncpu_49: 95 invocations (0.1%)
  xeoncpu_39: 95 invocations (0.1%)
  xeoncpu_48: 87 invocations (0.1%)
  rpi3_132: 51 invocations (0.0%)
  rockpi_49: 382 invocations (0.3%)
  rpi3_172: 43 invocations (0.0%)
  rpi3_171: 44 invocations (0.0%)
  rockpi_72: 322 invocations (0.3%)
  rockpi_20: 323 invocations (0.3%)
  rockpi_25: 322 invocations (0.3%)
  rockpi_19: 270 invocations (0.2%)
  rpi4_85: 76 invocations (0.1%)
  rockpi_38: 224 invocations (0.2%)
  rockpi_77: 224 invocations (0.2%)
  rockpi_91: 182 invocations (0.1%)
  rockpi_2: 182 invocations (0.1%)
  rockpi_81: 142 invocations (0.1%)
  rockpi_31: 142 invocations (0.1%)
  rockpi_34: 105 invocations (0.1%)
  rockpi_84: 106 invocations (0.1%)
  rockpi_71: 105 invocations (0.1%)
  rockpi_53: 72 invocations (0.1%)
  rockpi_83: 42 invocations (0.0%)
  rpi3_138: 4 invocations (0.0%)

Function Distribution:
  resnet50-inference-suburb: 9455 invocations (7.5%)
  resnet50-inference-port: 11130 invocations (8.9%)
  resnet50-inference-commercial: 9028 invocations (7.2%)
  resnet50-inference-airport: 11929 invocations (9.5%)
  resnet50-inference-downtown: 9525 invocations (7.6%)
  resnet50-inference: 9918 invocations (7.9%)
  resnet50-inference-industrial: 9605 invocations (7.7%)
  resnet50-inference-residential: 8998 invocations (7.2%)
  speech-inference-suburb: 3181 invocations (2.5%)
  speech-inference-industrial: 3377 invocations (2.7%)
  speech-inference: 3522 invocations (2.8%)
  speech-inference-downtown: 3521 invocations (2.8%)
  speech-inference-residential: 3150 invocations (2.5%)
  speech-inference-commercial: 2910 invocations (2.3%)
  resnet50-preprocessing-downtown: 7021 invocations (5.6%)
  resnet50-preprocessing: 6184 invocations (4.9%)
  resnet50-preprocessing-industrial: 6513 invocations (5.2%)
  resnet50-preprocessing-suburb: 6382 invocations (5.1%)
Network Activity:
  Total transfers: 1038
  Total bytes transferred: 87278.37 MB
  Transfer duration: 98951.79 s

Network Flows:
  registry → coral_0: 262.26 MB in 2.27 s
  registry → coral_1: 262.26 MB in 2.27 s
  registry → coral_10: 80.11 MB in 0.70 s
  registry → coral_2: 118.26 MB in 1.03 s
  registry → coral_3: 118.26 MB in 1.03 s
  registry → coral_4: 38.15 MB in 0.33 s
  registry → coral_5: 80.11 MB in 0.70 s
  registry → coral_6: 80.11 MB in 0.70 s
  registry → coral_7: 80.11 MB in 0.70 s
  registry → coral_8: 38.15 MB in 0.33 s
  registry → coral_9: 262.26 MB in 2.27 s
  registry → nano_0: 190.73 MB in 3.12 s
  registry → nano_1: 190.73 MB in 3.12 s
  registry → nuc_0: 190.73 MB in 1.65 s
  registry → nuc_1: 190.73 MB in 1.65 s
  registry → nuc_10: 190.73 MB in 1.65 s
  registry → nuc_11: 190.73 MB in 1.65 s
  registry → nuc_12: 190.73 MB in 1.65 s
  registry → nuc_13: 190.73 MB in 1.65 s
  registry → nuc_14: 190.73 MB in 1.65 s
  registry → nuc_15: 190.73 MB in 1.65 s
  registry → nuc_16: 190.73 MB in 1.65 s
  registry → nuc_17: 190.73 MB in 1.65 s
  registry → nuc_18: 190.73 MB in 1.65 s
  registry → nuc_19: 190.73 MB in 1.65 s
  registry → nuc_2: 190.73 MB in 1.65 s
  registry → nuc_20: 190.73 MB in 1.65 s
  registry → nuc_21: 190.73 MB in 1.65 s
  registry → nuc_22: 190.73 MB in 1.65 s
  registry → nuc_23: 190.73 MB in 1.65 s
  registry → nuc_24: 190.73 MB in 1.65 s
  registry → nuc_25: 190.73 MB in 1.65 s
  registry → nuc_26: 190.73 MB in 1.65 s
  registry → nuc_27: 190.73 MB in 1.65 s
  registry → nuc_28: 190.73 MB in 1.65 s
  registry → nuc_29: 190.73 MB in 1.65 s
  registry → nuc_3: 190.73 MB in 1.65 s
  registry → nuc_30: 190.73 MB in 1.65 s
  registry → nuc_31: 190.73 MB in 1.65 s
  registry → nuc_32: 190.73 MB in 1.65 s
  registry → nuc_33: 190.73 MB in 1.65 s
  registry → nuc_34: 190.73 MB in 1.65 s
  registry → nuc_35: 190.73 MB in 1.65 s
  registry → nuc_36: 190.73 MB in 1.65 s
  registry → nuc_37: 190.73 MB in 1.65 s
  registry → nuc_38: 190.73 MB in 1.65 s
  registry → nuc_39: 190.73 MB in 1.65 s
  registry → nuc_4: 190.73 MB in 1.65 s
  registry → nuc_40: 190.73 MB in 1.65 s
  registry → nuc_41: 190.73 MB in 1.65 s
  registry → nuc_42: 190.73 MB in 1.65 s
  registry → nuc_43: 190.73 MB in 1.65 s
  registry → nuc_44: 190.73 MB in 1.65 s
  registry → nuc_45: 190.73 MB in 1.65 s
  registry → nuc_46: 190.73 MB in 1.65 s
  registry → nuc_47: 190.73 MB in 1.65 s
  registry → nuc_48: 190.73 MB in 1.65 s
  registry → nuc_49: 190.73 MB in 1.65 s
  registry → nuc_5: 190.73 MB in 1.65 s
  registry → nuc_50: 190.73 MB in 1.65 s
  registry → nuc_51: 190.73 MB in 1.65 s
  registry → nuc_6: 190.73 MB in 1.65 s
  registry → nuc_7: 190.73 MB in 1.65 s
  registry → nuc_8: 190.73 MB in 1.65 s
  registry → nuc_9: 190.73 MB in 1.65 s
  registry → nx_0: 190.73 MB in 1.99 s
  registry → nx_1: 190.73 MB in 1.88 s
  registry → nx_2: 190.73 MB in 1.66 s
  registry → nx_3: 190.73 MB in 1.66 s
  registry → rockpi_0: 38.15 MB in 0.40 s
  registry → rockpi_1: 38.15 MB in 0.33 s
  registry → rockpi_10: 182.15 MB in 1.58 s
  registry → rockpi_11: 220.30 MB in 1.91 s
  registry → rockpi_12: 38.15 MB in 0.33 s
  registry → rockpi_13: 38.15 MB in 0.33 s
  registry → rockpi_14: 38.15 MB in 0.33 s
  registry → rockpi_15: 182.15 MB in 1.58 s
  registry → rockpi_16: 182.15 MB in 1.58 s
  registry → rockpi_17: 220.30 MB in 2.56 s
  registry → rockpi_18: 38.15 MB in 0.37 s
  registry → rockpi_19: 38.15 MB in 0.33 s
  registry → rockpi_2: 38.15 MB in 0.33 s
