name,type
python-pi,deploy
python-pi-downtown,deploy
python-pi-suburb,deploy
python-pi-industrial,deploy
python-pi-residential,deploy
python-pi-commercial,deploy
python-pi-airport,deploy
fio,deploy
fio-downtown,deploy
