value,name,image,function_id,node
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531694967040,rockpi_31
deploy,python-pi,faas-workloads/python-pi,140531694970256,rpi3_6
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rpi3_8
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rockpi_26
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_26
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_7
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,rockpi_7
deploy,python-pi,faas-workloads/python-pi,140531694970256,rockpi_18
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rockpi_18
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rpi3_12
