value,name,function_id
deploy,resnet50-inference,139990821379184
deploy,resnet50-inference-downtown,139990821379424
deploy,resnet50-inference-suburb,139990821010384
deploy,resnet50-inference-industrial,139990821011056
deploy,resnet50-inference-residential,139990821524848
deploy,resnet50-inference-commercial,139990820968336
deploy,speech-inference,139990820968720
deploy,speech-inference-downtown,139990821240192
deploy,speech-inference-suburb,139990819635280
deploy,speech-inference-industrial,139990821473328
deploy,resnet50-preprocessing,139990821473808
deploy,resnet50-preprocessing-downtown,139990821260032
deploy,resnet50-preprocessing-suburb,139990821223248
deploy,resnet50-preprocessing-industrial,139990821223632
deploy,resnet50-preprocessing-residential,139990821369040
deploy,resnet50-training,139990821369376
deploy,resnet50-training-downtown,139990821369712
