value,name,function_id
deploy,resnet50-inference,140386780690512
deploy,resnet50-inference-downtown,140386780691568
deploy,resnet50-inference-suburb,140386780692832
deploy,resnet50-inference-industrial,140386780694032
deploy,speech-inference,140386780695232
deploy,speech-inference-downtown,140386780696432
deploy,speech-inference-suburb,140386780697632
deploy,resnet50-preprocessing,140386780698832
deploy,resnet50-training,140386780699648
deploy,resnet50-training-downtown,140386780700848
deploy,python-pi,140386780702048
deploy,python-pi-downtown,140386780702864
deploy,python-pi-suburb,140386780703680
deploy,python-pi-industrial,140386780704496
deploy,python-pi-residential,140386780705312
deploy,fio,140386780706128
deploy,fio-downtown,140386780706944
