FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  rockpi_84: 50 invocations (0.3%)
  rpi3_189: 25 invocations (0.1%)
  rpi3_172: 25 invocations (0.1%)
  rpi3_173: 25 invocations (0.1%)
  rpi3_230: 25 invocations (0.1%)
  rockpi_64: 48 invocations (0.3%)
  rpi4_42: 57 invocations (0.3%)
  rpi3_190: 24 invocations (0.1%)
  rpi4_43: 56 invocations (0.3%)
  rpi3_229: 24 invocations (0.1%)
  rpi3_149: 24 invocations (0.1%)
  rpi3_228: 24 invocations (0.1%)
  rpi3_148: 24 invocations (0.1%)
  rockpi_73: 47 invocations (0.3%)
  rpi4_166: 31 invocations (0.2%)
  rpi4_45: 64 invocations (0.4%)
  rpi4_167: 62 invocations (0.4%)
  rpi3_132: 23 invocations (0.1%)
  rpi4_44: 31 invocations (0.2%)
  rockpi_78: 45 invocations (0.3%)
  rpi4_29: 53 invocations (0.3%)
  rpi3_134: 23 invocations (0.1%)
  rpi3_238: 22 invocations (0.1%)
  rpi3_171: 54 invocations (0.3%)
  rpi3_237: 23 invocations (0.1%)
  rockpi_54: 44 invocations (0.3%)
  rockpi_87: 44 invocations (0.3%)
  rpi3_239: 22 invocations (0.1%)
  rpi3_147: 53 invocations (0.3%)
  rpi3_191: 54 invocations (0.3%)
  rpi4_99: 61 invocations (0.4%)
  rpi4_216: 30 invocations (0.2%)
  rockpi_128: 42 invocations (0.3%)
  rpi4_217: 61 invocations (0.4%)
  rpi3_116: 21 invocations (0.1%)
  rockpi_6: 42 invocations (0.3%)
  rpi4_98: 28 invocations (0.2%)
  rpi3_133: 50 invocations (0.3%)
  rpi3_114: 21 invocations (0.1%)
  rpi4_200: 56 invocations (0.3%)
  rpi3_115: 20 invocations (0.1%)
  rockpi_98: 40 invocations (0.2%)
  rpi3_42: 20 invocations (0.1%)
  rpi4_187: 26 invocations (0.2%)
  rpi4_201: 27 invocations (0.2%)
  rpi3_44: 20 invocations (0.1%)
  rpi4_63: 27 invocations (0.2%)
  rpi4_186: 56 invocations (0.3%)
  rpi3_43: 19 invocations (0.1%)
  rpi3_138: 19 invocations (0.1%)
  rpi4_89: 25 invocations (0.1%)
  rockpi_55: 38 invocations (0.2%)
  rpi3_139: 19 invocations (0.1%)
  rockpi_125: 38 invocations (0.2%)
  coral_3: 19 invocations (0.1%)
  rpi3_140: 19 invocations (0.1%)
  rpi4_62: 44 invocations (0.3%)
  rockpi_108: 36 invocations (0.2%)
  rockpi_103: 36 invocations (0.2%)
  rpi4_88: 53 invocations (0.3%)
  rockpi_7: 36 invocations (0.2%)
  rpi4_74: 52 invocations (0.3%)
  rockpi_51: 36 invocations (0.2%)
  rpi3_174: 18 invocations (0.1%)
  coral_5: 18 invocations (0.1%)
  rockpi_120: 34 invocations (0.2%)
  rpi4_106: 49 invocations (0.3%)
  rockpi_16: 34 invocations (0.2%)
  coral_4: 17 invocations (0.1%)
  rpi4_107: 22 invocations (0.1%)
  rockpi_49: 33 invocations (0.2%)
  rockpi_31: 33 invocations (0.2%)
  rpi4_105: 22 invocations (0.1%)
  rpi3_176: 17 invocations (0.1%)
  rpi3_26: 16 invocations (0.1%)
  rpi4_75: 40 invocations (0.2%)
  rpi4_208: 48 invocations (0.3%)
  rpi4_100: 46 invocations (0.3%)
  rpi4_193: 21 invocations (0.1%)
  rpi3_25: 16 invocations (0.1%)
  rpi3_24: 16 invocations (0.1%)
  rpi4_192: 47 invocations (0.3%)
  rpi4_209: 21 invocations (0.1%)
  rpi4_101: 21 invocations (0.1%)
  rpi3_175: 41 invocations (0.2%)
  rockpi_95: 30 invocations (0.2%)
  rpi4_77: 20 invocations (0.1%)
