FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-19 03:58:07

Total deployment events: 2092
Number of node-function combinations: 459

Event Type Summary:
  Deployment events: 6
  Replica events: 1338
  Network events: 748

CHRONOLOGICAL TIMELINE
======================

t=   8.0s | network    | rockpi_4 → nano_20   | unknown                   | data_download (55.3 MB)
t=   8.1s | network    | rockpi_4 → nx_7      | unknown                   | data_download (98.2 MB)
t=   8.2s | network    | rockpi_4 → nano_20   | unknown                   | data_download (55.3 MB)
t=   8.3s | network    | rockpi_4 → nano_20   | unknown                   | data_download (55.3 MB)
t=   8.4s | network    | registry → rpi3_22   | unknown                   | docker_pull (19.1 MB)
t=   8.5s | network    | registry → rockpi_12 | unknown                   | docker_pull (59.1 MB)
t=   8.6s | network    | registry → nx_11     | unknown                   | docker_pull (95.4 MB)
t=   8.7s | network    | registry → nano_22   | unknown                   | docker_pull (95.4 MB)
t=   8.8s | network    | rockpi_4 → nano_22   | unknown                   | data_download (55.3 MB)
t=   8.9s | network    | rockpi_4 → nx_11     | unknown                   | data_download (98.2 MB)
t=   9.0s | replica    | rockpi_8             | python-pi                 | startup replica of python-pi
t=   9.0s | network    | rockpi_4 → nano_22   | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | rockpi_4 → nano_22   | unknown                   | data_download (55.3 MB)
t=   9.2s | network    | rockpi_4 → nano_22   | unknown                   | data_download (55.3 MB)
t=   9.3s | network    | registry → nano_10   | unknown                   | docker_pull (95.4 MB)
t=   9.4s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
t=   9.5s | network    | rockpi_4 → nano_11   | unknown                   | data_download (55.3 MB)
t=   9.6s | network    | rockpi_4 → nano_11   | unknown                   | data_download (55.3 MB)
t=   9.7s | network    | rockpi_4 → nano_10   | unknown                   | data_download (98.2 MB)
t=   9.8s | network    | rockpi_4 → nano_11   | unknown                   | data_download (55.3 MB)
t=   9.9s | network    | rockpi_4 → nano_11   | unknown                   | data_download (55.3 MB)
t=  10.0s | replica    | rockpi_8             | python-pi                 | setup replica of python-pi
t=  10.0s | network    | registry → rpi3_23   | unknown                   | docker_pull (19.1 MB)
t=  10.1s | network    | registry → rockpi_5  | unknown                   | docker_pull (38.1 MB)
t=  10.2s | network    | registry → nano_28   | unknown                   | docker_pull (95.4 MB)
t=  10.3s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=  10.4s | network    | registry → rockpi_5  | unknown                   | docker_pull (59.1 MB)
t=  10.5s | network    | rockpi_4 → rockpi_5  | unknown                   | data_download (45.8 MB)
t=  10.6s | network    | rockpi_4 → nano_0    | unknown                   | data_download (55.3 MB)
t=  10.7s | network    | rockpi_4 → nano_0    | unknown                   | data_download (55.3 MB)
t=  10.8s | network    | rockpi_4 → nano_28   | unknown                   | data_download (98.2 MB)
t=  10.9s | network    | rockpi_4 → nano_0    | unknown                   | data_download (55.3 MB)
t=  11.0s | replica    | rockpi_8             | python-pi                 | finish replica of python-pi
t=  11.0s | network    | rockpi_4 → nano_0    | unknown                   | data_download (55.3 MB)
t=  11.1s | network    | registry → rockpi_21 | unknown                   | docker_pull (38.1 MB)
t=  11.2s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
t=  11.3s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=  11.4s | network    | registry → rockpi_21 | unknown                   | docker_pull (59.1 MB)
t=  11.5s | network    | rockpi_4 → rockpi_21 | unknown                   | data_download (45.8 MB)
t=  11.6s | network    | rockpi_4 → nano_2    | unknown                   | data_download (55.3 MB)
t=  11.7s | network    | rockpi_4 → nano_2    | unknown                   | data_download (55.3 MB)
t=  11.8s | network    | rockpi_4 → nano_1    | unknown                   | data_download (98.2 MB)
t=  11.9s | network    | rockpi_4 → nano_2    | unknown                   | data_download (55.3 MB)
t=  12.0s | replica    | rockpi_30            | speech-inference          | startup replica of speech-inference
t=  12.0s | network    | rockpi_4 → nano_2    | unknown                   | data_download (55.3 MB)
t=  12.1s | network    | registry → rpi3_27   | unknown                   | docker_pull (19.1 MB)
t=  12.2s | network    | registry → rockpi_19 | unknown                   | docker_pull (38.1 MB)
t=  12.3s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=  12.4s | network    | registry → nx_5      | unknown                   | docker_pull (95.4 MB)
t=  12.5s | network    | registry → rockpi_19 | unknown                   | docker_pull (59.1 MB)
t=  12.6s | network    | rockpi_4 → rockpi_19 | unknown                   | data_download (45.8 MB)
t=  12.7s | network    | rockpi_4 → nx_5      | unknown                   | data_download (55.3 MB)
t=  12.8s | network    | rockpi_4 → nx_5      | unknown                   | data_download (55.3 MB)
t=  12.9s | network    | rockpi_4 → nano_5    | unknown                   | data_download (98.2 MB)
t=  13.0s | replica    | rockpi_30            | speech-inference          | setup replica of speech-inference
t=  13.0s | network    | rockpi_4 → nx_5      | unknown                   | data_download (55.3 MB)
t=  13.1s | network    | rockpi_4 → nx_5      | unknown                   | data_download (55.3 MB)
t=  13.2s | network    | registry → nx_13     | unknown                   | docker_pull (38.1 MB)
t=  13.3s | network    | registry → rockpi_16 | unknown                   | docker_pull (59.1 MB)
t=  13.4s | network    | rockpi_4 → nx_13     | unknown                   | data_download (45.8 MB)
t=  13.5s | network    | registry → nx_12     | unknown                   | docker_pull (95.4 MB)
t=  13.6s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=  13.7s | network    | rockpi_4 → nano_6    | unknown                   | data_download (55.3 MB)
t=  13.8s | network    | rockpi_4 → nx_12     | unknown                   | data_download (98.2 MB)
t=  13.9s | network    | rockpi_4 → nano_6    | unknown                   | data_download (55.3 MB)
t=  14.0s | replica    | nx_10                | resnet50-inference        | startup replica of resnet50-inference
t=  14.0s | network    | rockpi_4 → nano_6    | unknown                   | data_download (55.3 MB)
t=  14.1s | network    | rockpi_4 → nano_6    | unknown                   | data_download (55.3 MB)
t=  14.2s | network    | registry → rpi3_28   | unknown                   | docker_pull (19.1 MB)
t=  14.3s | network    | registry → rockpi_16 | unknown                   | docker_pull (38.1 MB)
t=  14.4s | network    | registry → rockpi_14 | unknown                   | docker_pull (59.1 MB)
t=  14.5s | network    | rockpi_4 → rockpi_16 | unknown                   | data_download (45.8 MB)
t=  14.6s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=  14.7s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=  14.8s | network    | rockpi_4 → nano_8    | unknown                   | data_download (55.3 MB)
t=  14.9s | network    | rockpi_4 → nano_7    | unknown                   | data_download (98.2 MB)
t=  15.0s | replica    | nx_10                | resnet50-inference        | setup replica of resnet50-inference
t=  15.0s | network    | rockpi_4 → nano_8    | unknown                   | data_download (55.3 MB)
t=  15.1s | network    | rockpi_4 → nano_8    | unknown                   | data_download (55.3 MB)
t=  15.2s | network    | rockpi_4 → nano_8    | unknown                   | data_download (55.3 MB)
t=  15.3s | network    | registry → rockpi_14 | unknown                   | docker_pull (38.1 MB)
t=  15.4s | network    | registry → nx_4      | unknown                   | docker_pull (59.1 MB)
t=  15.5s | network    | rockpi_4 → rockpi_14 | unknown                   | data_download (45.8 MB)
t=  15.6s | network    | registry → nano_16   | unknown                   | docker_pull (95.4 MB)
t=  15.7s | network    | registry → nano_27   | unknown                   | docker_pull (95.4 MB)
t=  15.8s | network    | rockpi_4 → nano_16   | unknown                   | data_download (98.2 MB)
