value,name,function_id
deploy,resnet50-inference,139668512159968
deploy,speech-inference,139668512161024
deploy,resnet50-preprocessing,139668512178672
deploy,resnet50-training,139668512179488
deploy,python-pi,139668512180688
deploy,fio,139668512181504
