FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-05 14:26:30

Total deployment events: 6324
Number of node-function combinations: 1848

Event Type Summary:
  Deployment events: 19
  Replica events: 4869
  Network events: 1436

CHRONOLOGICAL TIMELINE
======================

t=   6.9s | network    | registry → nano_60   | unknown                   | docker_pull (95.4 MB)
t=   7.0s | replica    | rockpi_1             | speech-inference-downtown | setup replica of speech-inference-downtown
t=   7.0s | network    | registry → nx_32     | unknown                   | docker_pull (95.4 MB)
t=   7.1s | network    | registry → nano_28   | unknown                   | docker_pull (95.4 MB)
t=   7.2s | network    | registry → nano_63   | unknown                   | docker_pull (95.4 MB)
t=   7.3s | network    | registry → nx_19     | unknown                   | docker_pull (95.4 MB)
t=   7.4s | network    | registry → nx_20     | unknown                   | docker_pull (95.4 MB)
t=   7.5s | network    | registry → nx_31     | unknown                   | docker_pull (95.4 MB)
t=   7.6s | network    | registry → rockpi_99 | unknown                   | docker_pull (182.2 MB)
t=   7.7s | network    | rpi3_81 → nano_0     | unknown                   | data_download (55.3 MB)
t=   7.8s | network    | rpi3_81 → rockpi_62  | unknown                   | data_download (45.8 MB)
t=   7.9s | network    | rpi3_81 → rockpi_28  | unknown                   | data_download (45.8 MB)
t=   8.0s | replica    | rockpi_97            | speech-inference-suburb   | deploy replica of speech-inference-suburb
t=   8.0s | network    | rpi3_81 → nx_0       | unknown                   | data_download (55.3 MB)
t=   8.1s | network    | registry → rpi3_15   | unknown                   | docker_pull (19.1 MB)
t=   8.2s | network    | registry → rockpi_91 | unknown                   | docker_pull (38.1 MB)
t=   8.3s | network    | registry → rpi3_11   | unknown                   | docker_pull (52.5 MB)
t=   8.4s | network    | registry → nx_1      | unknown                   | docker_pull (59.1 MB)
t=   8.5s | network    | registry → nx_52     | unknown                   | docker_pull (59.1 MB)
t=   8.6s | network    | registry → rockpi_105 | unknown                   | docker_pull (38.1 MB)
t=   8.7s | network    | registry → nano_71   | unknown                   | docker_pull (95.4 MB)
t=   8.8s | network    | registry → nx_12     | unknown                   | docker_pull (95.4 MB)
t=   8.9s | network    | registry → nx_39     | unknown                   | docker_pull (95.4 MB)
t=   9.0s | replica    | rockpi_97            | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=   9.0s | network    | registry → nano_34   | unknown                   | docker_pull (95.4 MB)
t=   9.1s | network    | registry → nano_77   | unknown                   | docker_pull (95.4 MB)
t=   9.2s | network    | registry → nx_11     | unknown                   | docker_pull (95.4 MB)
t=   9.3s | network    | registry → nano_70   | unknown                   | docker_pull (95.4 MB)
t=   9.4s | network    | registry → nano_46   | unknown                   | docker_pull (95.4 MB)
t=   9.5s | network    | rpi3_81 → nano_0     | unknown                   | data_download (55.3 MB)
t=   9.6s | network    | rpi3_81 → nx_0       | unknown                   | data_download (55.3 MB)
t=   9.7s | network    | registry → nx_0      | unknown                   | docker_pull (182.2 MB)
t=   9.8s | network    | registry → rockpi_105 | unknown                   | docker_pull (182.2 MB)
t=   9.9s | network    | rpi3_81 → nano_0     | unknown                   | data_download (55.3 MB)
t=  10.0s | replica    | coral_19             | resnet50-preprocessing-downtown | deploy replica of resnet50-preprocessing-downtown
t=  10.0s | network    | rpi3_81 → nano_0     | unknown                   | data_download (55.3 MB)
t=  10.1s | network    | rpi3_81 → nx_52      | unknown                   | data_download (55.3 MB)
t=  10.2s | network    | registry → rpi3_16   | unknown                   | docker_pull (19.1 MB)
t=  10.3s | network    | rpi3_81 → nx_1       | unknown                   | data_download (55.3 MB)
t=  10.4s | network    | registry → rpi3_17   | unknown                   | docker_pull (19.1 MB)
t=  10.5s | network    | registry → rockpi_39 | unknown                   | docker_pull (38.1 MB)
t=  10.6s | network    | registry → coral_0   | unknown                   | docker_pull (59.1 MB)
t=  10.7s | network    | registry → nx_2      | unknown                   | docker_pull (59.1 MB)
t=  10.8s | network    | registry → rockpi_31 | unknown                   | docker_pull (38.1 MB)
t=  10.9s | network    | registry → nano_64   | unknown                   | docker_pull (95.4 MB)
t=  11.0s | replica    | nano_0               | resnet50-training         | deploy replica of resnet50-training
t=  11.0s | network    | registry → nx_26     | unknown                   | docker_pull (95.4 MB)
