value,name,function_id
deploy,resnet50-inference,140180552546048
deploy,resnet50-inference-downtown,140180552547104
deploy,resnet50-inference-suburb,140180552564800
deploy,resnet50-inference-industrial,140180552565952
deploy,speech-inference,140180552567152
deploy,speech-inference-downtown,140180552568352
deploy,speech-inference-suburb,140180552569552
deploy,resnet50-preprocessing,140180552570752
deploy,resnet50-training,140180552571568
deploy,resnet50-training-downtown,140180552572768
deploy,python-pi,140180552573968
deploy,python-pi-downtown,140180552574784
deploy,python-pi-suburb,140180552575600
deploy,fio,140180552576416
deploy,fio-downtown,140180552577232
deploy,fio-suburb,140180552578048
