value,name,function_id
deploy,resnet50-inference,140211318822736
deploy,resnet50-inference-downtown,140211318823792
deploy,resnet50-inference-suburb,140211318824992
deploy,resnet50-inference-industrial,140211318826192
deploy,speech-inference,140211318827392
deploy,speech-inference-downtown,140211318828592
deploy,speech-inference-suburb,140211318829792
deploy,resnet50-preprocessing,140211318830992
deploy,resnet50-preprocessing-downtown,140211318831808
deploy,resnet50-training,140211318832624
deploy,resnet50-training-downtown,140211318866656
deploy,resnet50-training-suburb,140211318867856
deploy,resnet50-training-industrial,140211318869056
deploy,python-pi,140211318870256
deploy,python-pi-downtown,140211318871072
deploy,python-pi-suburb,140211318871888
deploy,fio,140211318872704
deploy,fio-downtown,140211318873520
deploy,fio-suburb,140211318874336
