value,name,function_id
deploy,resnet50-inference,139757049919280
deploy,resnet50-inference-downtown,139757049920336
deploy,resnet50-inference-suburb,139757049937984
deploy,resnet50-inference-industrial,139757049939184
deploy,speech-inference,139757049940384
deploy,speech-inference-downtown,139757049941584
deploy,speech-inference-suburb,139757049942784
deploy,resnet50-preprocessing,139757049943984
deploy,resnet50-training,139757049944800
deploy,resnet50-training-downtown,139757049946000
deploy,python-pi,139757049947200
deploy,python-pi-downtown,139757049948016
deploy,python-pi-suburb,139757049948832
deploy,fio,139757049949648
deploy,fio-downtown,139757049950464
deploy,fio-suburb,139757049951280
