FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 10:46:34

Topology Overview:
  Number of nodes: 240
  Number of functions: 9
  Number of images: 2

Node Distribution:
  nuc_37: 93 invocations (0.3%)
  nuc_88: 95 invocations (0.3%)
  nuc_6: 95 invocations (0.3%)
  nano_14: 75 invocations (0.2%)
  nano_20: 128 invocations (0.4%)
  nuc_26: 84 invocations (0.3%)
  nuc_14: 94 invocations (0.3%)
  nuc_92: 83 invocations (0.2%)
  nano_8: 112 invocations (0.3%)
  nuc_80: 123 invocations (0.4%)
  nuc_63: 92 invocations (0.3%)
  nuc_7: 92 invocations (0.3%)
  nuc_8: 89 invocations (0.3%)
  nuc_93: 88 invocations (0.3%)
  nuc_98: 87 invocations (0.3%)
  nuc_51: 78 invocations (0.2%)
  nuc_18: 85 invocations (0.3%)
  nuc_36: 84 invocations (0.3%)
  nano_12: 104 invocations (0.3%)
  nuc_73: 84 invocations (0.3%)
  nuc_48: 117 invocations (0.4%)
  tx2_2: 80 invocations (0.2%)
  nuc_16: 111 invocations (0.3%)
  nuc_9: 85 invocations (0.3%)
  nuc_87: 86 invocations (0.3%)
  tx2_3: 83 invocations (0.2%)
  nano_10: 104 invocations (0.3%)
  nuc_54: 79 invocations (0.2%)
  nuc_33: 81 invocations (0.2%)
  nuc_19: 80 invocations (0.2%)
  nano_13: 56 invocations (0.2%)
  nano_18: 79 invocations (0.2%)
  nuc_24: 82 invocations (0.2%)
  nuc_53: 80 invocations (0.2%)
  nuc_28: 77 invocations (0.2%)
  nuc_96: 79 invocations (0.2%)
  nuc_10: 107 invocations (0.3%)
  nano_22: 73 invocations (0.2%)
  nuc_34: 76 invocations (0.2%)
  nuc_62: 79 invocations (0.2%)
  nuc_76: 102 invocations (0.3%)
  nuc_45: 75 invocations (0.2%)
  nuc_40: 74 invocations (0.2%)
  nuc_61: 77 invocations (0.2%)
  nuc_32: 75 invocations (0.2%)
  nuc_77: 65 invocations (0.2%)
  nuc_11: 72 invocations (0.2%)
  nano_11: 72 invocations (0.2%)
  nuc_42: 71 invocations (0.2%)
  nuc_17: 97 invocations (0.3%)
  tx2_4: 71 invocations (0.2%)
  tx2_5: 74 invocations (0.2%)
  nuc_39: 65 invocations (0.2%)
  nuc_94: 71 invocations (0.2%)
  nuc_65: 69 invocations (0.2%)
  nuc_12: 70 invocations (0.2%)
  nuc_89: 69 invocations (0.2%)
  tx2_6: 67 invocations (0.2%)
  nuc_58: 60 invocations (0.2%)
  nano_2: 76 invocations (0.2%)
  nuc_13: 69 invocations (0.2%)
  nano_4: 67 invocations (0.2%)
