value,name,function_id
deploy,resnet50-inference,140687577544496
deploy,resnet50-inference-downtown,140687577545552
deploy,resnet50-inference-suburb,140687577563200
deploy,resnet50-inference-industrial,140687577564400
deploy,speech-inference,140687577565600
deploy,speech-inference-downtown,140687577566800
deploy,speech-inference-suburb,140687577568000
deploy,resnet50-preprocessing,140687577569200
deploy,resnet50-training,140687577570016
deploy,resnet50-training-downtown,140687577571216
deploy,python-pi,140687577572416
deploy,python-pi-downtown,140687577573232
deploy,python-pi-suburb,140687577574048
deploy,fio,140687577574864
deploy,fio-downtown,140687577575680
deploy,fio-suburb,140687577576496
