value,name,function_id
deploy,resnet50-inference,140134426061200
deploy,resnet50-inference-downtown,140134425972720
deploy,resnet50-inference-suburb,140134425973200
deploy,resnet50-inference-industrial,140134427790800
deploy,resnet50-inference-residential,140134427786576
deploy,resnet50-inference-commercial,140134427786832
deploy,speech-inference,140134426436992
deploy,speech-inference-downtown,140134426437328
deploy,speech-inference-suburb,140134426437664
deploy,speech-inference-industrial,140134426437776
deploy,resnet50-preprocessing,140134426437888
deploy,resnet50-preprocessing-downtown,140134426438000
deploy,resnet50-preprocessing-suburb,140134426438112
deploy,resnet50-preprocessing-industrial,140134426438336
deploy,resnet50-preprocessing-residential,140134426438560
deploy,resnet50-training,140134426438672
deploy,resnet50-training-downtown,140134426438784
