FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 05:46:25

Topology Overview:
  Number of nodes: 210
  Number of functions: 6
  Number of images: 8

Node Distribution:
  rpi3_11: 96 invocations (0.1%)
  rockpi_28: 92 invocations (0.1%)
  rpi3_69: 61 invocations (0.1%)
  rockpi_45: 78 invocations (0.1%)
  rpi3_70: 64 invocations (0.1%)
  rockpi_3: 71 invocations (0.1%)
  rpi3_71: 60 invocations (0.1%)
  coral_2: 55 invocations (0.1%)
  rockpi_40: 75 invocations (0.1%)
  rpi3_45: 55 invocations (0.1%)
  rockpi_30: 69 invocations (0.1%)
  rpi3_46: 53 invocations (0.1%)
  coral_3: 46 invocations (0.1%)
  rockpi_27: 63 invocations (0.1%)
  coral_4: 41 invocations (0.1%)
  rpi3_47: 50 invocations (0.1%)
  nuc_0: 16 invocations (0.0%)
  rockpi_54: 43 invocations (0.1%)
  rpi3_33: 49 invocations (0.1%)
  rockpi_37: 53 invocations (0.1%)
  nuc_2: 10 invocations (0.0%)
  rockpi_65: 36 invocations (0.1%)
  nuc_1: 10 invocations (0.0%)
  rpi3_34: 44 invocations (0.1%)
  rockpi_8: 32 invocations (0.0%)
  rpi3_35: 43 invocations (0.1%)
  nuc_3: 9 invocations (0.0%)
  rockpi_61: 39 invocations (0.1%)
  rpi3_66: 41 invocations (0.1%)
  rockpi_35: 27 invocations (0.0%)
  coral_5: 24 invocations (0.0%)
  rpi3_67: 41 invocations (0.1%)
  coral_6: 23 invocations (0.0%)
  rockpi_29: 31 invocations (0.0%)
  rpi3_68: 37 invocations (0.1%)
  rockpi_62: 23 invocations (0.0%)
  rpi3_36: 36 invocations (0.1%)
  rockpi_71: 29 invocations (0.0%)
  rpi3_37: 32 invocations (0.0%)
  rpi3_38: 30 invocations (0.0%)
  rockpi_22: 4 invocations (0.0%)
  rpi3_51: 27 invocations (0.0%)
  rpi3_52: 10 invocations (0.0%)
  nuc_5: 16 invocations (0.0%)
  rockpi_49: 2 invocations (0.0%)
  rpi3_53: 6 invocations (0.0%)
  rpi3_62: 1 invocations (0.0%)
  rpi3_60: 5 invocations (0.0%)
  rpi3_61: 2 invocations (0.0%)
  nuc_4: 8 invocations (0.0%)
  nano_14: 4 invocations (0.0%)
  coral_7: 16 invocations (0.0%)
  coral_8: 15 invocations (0.0%)
  coral_9: 14 invocations (0.0%)
  nano_30: 3 invocations (0.0%)
  coral_12: 7 invocations (0.0%)
  nano_18: 2 invocations (0.0%)

Function Distribution:
  resnet50-inference: 25170 invocations (37.4%)
  python-pi: 31255 invocations (46.4%)
  speech-inference: 6092 invocations (9.0%)
  resnet50-preprocessing: 312 invocations (0.5%)
  fio: 4283 invocations (6.4%)
  resnet50-training: 243 invocations (0.4%)
Network Activity:
  Total transfers: 1201
  Total bytes transferred: 80835.34 MB
  Transfer duration: 14066.46 s

Network Flows:
  nano_14 → nuc_5: 392.91 MB in 198.24 s
  nano_18 → nuc_5: 196.46 MB in 127.62 s
  nano_30 → nuc_5: 294.69 MB in 159.29 s
  nuc_0 → nuc_5: 1571.66 MB in 761.48 s
  nuc_1 → nuc_5: 982.28 MB in 425.34 s
  nuc_2 → nuc_5: 982.28 MB in 456.93 s
  nuc_3 → nuc_5: 884.06 MB in 421.87 s
  nuc_4 → nuc_5: 785.83 MB in 384.34 s
  nuc_5 → coral_0: 45.78 MB in 0.40 s
  nuc_5 → coral_10: 98.23 MB in 1.67 s
  nuc_5 → coral_12: 98.23 MB in 57.66 s
  nuc_5 → coral_2: 98.23 MB in 47.39 s
  nuc_5 → coral_3: 98.23 MB in 51.52 s
  nuc_5 → coral_4: 98.23 MB in 52.72 s
  nuc_5 → coral_5: 98.23 MB in 49.84 s
  nuc_5 → coral_6: 98.23 MB in 47.70 s
  nuc_5 → coral_7: 98.23 MB in 44.55 s
  nuc_5 → coral_8: 98.23 MB in 47.52 s
  nuc_5 → coral_9: 98.23 MB in 49.81 s
  nuc_5 → nano_0: 98.23 MB in 2.65 s
  nuc_5 → nano_1: 98.23 MB in 1.88 s
  nuc_5 → nano_10: 98.23 MB in 2.25 s
  nuc_5 → nano_11: 319.48 MB in 33.03 s
  nuc_5 → nano_12: 221.25 MB in 3.56 s
  nuc_5 → nano_13: 98.23 MB in 2.90 s
  nuc_5 → nano_14: 387.19 MB in 113.54 s
  nuc_5 → nano_15: 98.23 MB in 2.28 s
  nuc_5 → nano_16: 221.25 MB in 3.09 s
  nuc_5 → nano_17: 221.25 MB in 4.21 s
  nuc_5 → nano_18: 221.25 MB in 8.22 s
  nuc_5 → nano_19: 98.23 MB in 5.32 s
  nuc_5 → nano_2: 98.23 MB in 1.54 s
  nuc_5 → nano_20: 98.23 MB in 14.77 s
  nuc_5 → nano_21: 98.23 MB in 1.51 s
  nuc_5 → nano_22: 319.48 MB in 33.85 s
  nuc_5 → nano_23: 221.25 MB in 6.17 s
  nuc_5 → nano_24: 98.23 MB in 2.73 s
  nuc_5 → nano_25: 98.23 MB in 2.03 s
  nuc_5 → nano_26: 98.23 MB in 1.43 s
  nuc_5 → nano_27: 98.23 MB in 2.56 s
  nuc_5 → nano_28: 221.25 MB in 11.67 s
  nuc_5 → nano_29: 98.23 MB in 2.95 s
  nuc_5 → nano_3: 221.25 MB in 2.79 s
  nuc_5 → nano_30: 221.25 MB in 8.19 s
  nuc_5 → nano_31: 98.23 MB in 2.59 s
  nuc_5 → nano_32: 98.23 MB in 2.85 s
  nuc_5 → nano_33: 98.23 MB in 2.18 s
  nuc_5 → nano_34: 98.23 MB in 2.33 s
  nuc_5 → nano_35: 221.25 MB in 3.54 s
  nuc_5 → nano_36: 221.25 MB in 13.68 s
  nuc_5 → nano_37: 221.25 MB in 5.40 s
  nuc_5 → nano_38: 221.25 MB in 8.96 s
  nuc_5 → nano_39: 98.23 MB in 2.31 s
  nuc_5 → nano_4: 98.23 MB in 1.71 s
  nuc_5 → nano_40: 221.25 MB in 6.56 s
  nuc_5 → nano_41: 319.48 MB in 19.17 s
  nuc_5 → nano_42: 98.23 MB in 2.12 s
  nuc_5 → nano_5: 221.25 MB in 2.49 s
  nuc_5 → nano_6: 98.23 MB in 5.02 s
  nuc_5 → nano_7: 221.25 MB in 4.87 s
  nuc_5 → nano_8: 98.23 MB in 3.92 s
  nuc_5 → nano_9: 98.23 MB in 2.40 s
  nuc_5 → nuc_0: 1548.77 MB in 361.86 s
  nuc_5 → nuc_1: 1438.14 MB in 396.52 s
  nuc_5 → nuc_2: 1216.89 MB in 278.73 s
  nuc_5 → nuc_3: 1161.58 MB in 298.83 s
  nuc_5 → nuc_4: 1106.26 MB in 300.95 s
  nuc_5 → nx_0: 885.01 MB in 193.18 s
  nuc_5 → nx_1: 663.76 MB in 165.91 s
  nuc_5 → nx_10: 709.53 MB in 150.95 s
  nuc_5 → nx_11: 709.53 MB in 99.91 s
  nuc_5 → nx_12: 885.01 MB in 224.17 s
  nuc_5 → nx_13: 98.23 MB in 2.67 s
  nuc_5 → nx_14: 144.00 MB in 1.57 s
  nuc_5 → nx_15: 663.76 MB in 154.95 s
  nuc_5 → nx_16: 709.53 MB in 179.15 s
  nuc_5 → nx_17: 144.00 MB in 3.22 s
  nuc_5 → nx_18: 709.53 MB in 94.95 s
  nuc_5 → nx_19: 663.76 MB in 124.28 s
  nuc_5 → nx_2: 144.00 MB in 3.90 s
  nuc_5 → nx_20: 540.73 MB in 78.50 s
  nuc_5 → nx_21: 663.76 MB in 96.47 s
  nuc_5 → nx_22: 885.01 MB in 92.47 s
  nuc_5 → nx_23: 374.79 MB in 45.75 s
  nuc_5 → nx_24: 144.00 MB in 12.51 s
  nuc_5 → nx_25: 98.23 MB in 2.82 s
  nuc_5 → nx_26: 663.76 MB in 172.61 s
  nuc_5 → nx_27: 709.53 MB in 132.14 s
  nuc_5 → nx_28: 761.99 MB in 123.71 s
  nuc_5 → nx_29: 930.79 MB in 126.37 s
  nuc_5 → nx_3: 663.76 MB in 137.25 s
  nuc_5 → nx_4: 144.00 MB in 3.23 s
