FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 14:20:27

Total deployment events: 2488
Number of node-function combinations: 621

Event Type Summary:
  Deployment events: 8
  Replica events: 1735
  Network events: 745

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   7.8s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=   7.9s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.0s | replica    | nx_2                 | resnet50-training-downtown | startup replica of resnet50-training-downtown
t=   8.0s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.1s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.2s | network    | nuc_0 → nx_2         | unknown                   | data_download (98.2 MB)
t=   8.3s | network    | nuc_0 → nano_14      | unknown                   | data_download (98.2 MB)
t=   8.4s | network    | nuc_0 → nano_2       | unknown                   | data_download (98.2 MB)
t=   8.5s | network    | nuc_0 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.6s | network    | nuc_0 → nx_0         | unknown                   | data_download (98.2 MB)
t=   8.7s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=   8.8s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   8.9s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   9.0s | replica    | nx_2                 | resnet50-training-downtown | setup replica of resnet50-training-downtown
t=   9.0s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | nuc_0 → nano_0       | unknown                   | data_download (55.3 MB)
t=   9.2s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=   9.3s | network    | nuc_0 → nano_0       | unknown                   | data_download (55.3 MB)
t=   9.4s | network    | nuc_0 → nano_0       | unknown                   | data_download (55.3 MB)
t=   9.5s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=   9.6s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   9.7s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
