FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 17:02:54

Total deployment events: 3134
Number of node-function combinations: 1001

Event Type Summary:
  Deployment events: 8
  Replica events: 2293
  Network events: 833

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   5.1s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   5.2s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   5.3s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   5.4s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   5.5s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   5.6s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   5.7s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   5.8s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   5.9s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.0s | replica    | nano_0               | resnet50-training         | deploy replica of resnet50-training
t=   6.0s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   6.1s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.2s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   6.3s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=   6.4s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=   6.5s | network    | registry → tx2_4     | unknown                   | docker_pull (95.4 MB)
t=   6.6s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
t=   6.7s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=   6.8s | network    | registry → tx2_5     | unknown                   | docker_pull (95.4 MB)
t=   6.9s | network    | registry → tx2_6     | unknown                   | docker_pull (95.4 MB)
t=   7.0s | replica    | nano_0               | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t=   7.0s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=   7.1s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   7.2s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.3s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.4s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.5s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.6s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.7s | network    | nuc_9 → nano_1       | unknown                   | data_download (98.2 MB)
t=   7.8s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   7.9s | network    | nuc_9 → nano_19      | unknown                   | data_download (98.2 MB)
t=   8.0s | replica    | nano_0               | resnet50-training-downtown | startup replica of resnet50-training-downtown
t=   8.0s | network    | nuc_9 → nano_17      | unknown                   | data_download (98.2 MB)
t=   8.1s | network    | nuc_9 → nano_14      | unknown                   | data_download (98.2 MB)
t=   8.2s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.3s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=   8.4s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=   8.5s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=   8.6s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=   8.7s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=   8.8s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   8.9s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   9.0s | replica    | nano_0               | resnet50-training-downtown | setup replica of resnet50-training-downtown
t=   9.0s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | registry → nano_21   | unknown                   | docker_pull (95.4 MB)
t=   9.2s | network    | registry → nano_9    | unknown                   | docker_pull (95.4 MB)
t=   9.3s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   9.4s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=   9.5s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   9.6s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   9.7s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=   9.8s | network    | registry → xeongpu_0 | unknown                   | docker_pull (190.7 MB)
t=   9.9s | network    | registry → xeongpu_1 | unknown                   | docker_pull (190.7 MB)
t=  10.0s | replica    | nano_0               | resnet50-training-downtown | finish replica of resnet50-training-downtown
