value,name,function_id
deploy,resnet50-inference,139641795164192
deploy,resnet50-inference-downtown,139641795165248
deploy,resnet50-inference-suburb,139641795166512
deploy,resnet50-inference-industrial,139641795167712
deploy,speech-inference,139641795168912
deploy,speech-inference-downtown,139641795170112
deploy,speech-inference-suburb,139641795171312
deploy,resnet50-preprocessing,139641795172512
deploy,resnet50-training,139641795173328
deploy,resnet50-training-downtown,139641795174528
deploy,python-pi,139641795175728
deploy,python-pi-downtown,139641795176544
deploy,python-pi-suburb,139641795177360
deploy,fio,139641795178176
deploy,fio-downtown,139641795178992
deploy,fio-suburb,139641795179808
