timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
60,KubernetesStyleFirstFit,resnet50-training,scale_up,12,13,nx_10,nx,0.0,0.0,,1
60,KubernetesStyleFirstFit,python-pi,scale_up,12,13,nuc_0,nuc,0.0,0.0,,1
60,KubernetesStyleFirstFit,fio,scale_up,12,13,nuc_0,nuc,0.0,0.0,,1
65,KubernetesStyleFirstFit,resnet50-inference,scale_up,13,14,coral_1,coral,0.0,0.0,,1
65,KubernetesStyleFirstFit,speech-inference,scale_up,12,13,coral_1,coral,0.0,0.0,,1
65,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
65,KubernetesStyleFirstFit,resnet50-training,scale_up,13,14,nx_10,nx,0.0,0.0,,1
65,KubernetesStyleFirstFit,python-pi,scale_up,13,14,nuc_0,nuc,0.0,0.0,,1
65,KubernetesStyleFirstFit,fio,scale_up,13,14,nuc_0,nuc,0.0,0.0,,1
70,KubernetesStyleFirstFit,resnet50-inference,scale_up,14,15,coral_1,coral,0.0,0.0,,1
70,KubernetesStyleFirstFit,speech-inference,scale_up,13,14,coral_1,coral,0.0,0.0,,1
70,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.8,0.0,Within thresholds,0
70,KubernetesStyleFirstFit,resnet50-training,scale_up,14,15,nx_10,nx,0.0,0.0,,1
70,KubernetesStyleFirstFit,python-pi,scale_up,14,15,nuc_0,nuc,0.0,0.0,,1
70,KubernetesStyleFirstFit,fio,scale_up,14,15,nuc_0,nuc,0.0,0.0,,1
75,KubernetesStyleFirstFit,resnet50-inference,scale_up,15,16,coral_1,coral,0.0,626.11075085373,,1
75,KubernetesStyleFirstFit,speech-inference,scale_up,14,15,coral_1,coral,0.0,3346.864329818785,,1
75,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
75,KubernetesStyleFirstFit,resnet50-training,scale_up,15,16,nx_10,nx,0.0,0.0,,1
75,KubernetesStyleFirstFit,python-pi,scale_up,15,16,nuc_0,nuc,0.0,13021.79518029063,,1
75,KubernetesStyleFirstFit,fio,scale_up,15,16,nuc_0,nuc,0.0,0.0,,1
80,KubernetesStyleFirstFit,resnet50-inference,scale_up,16,17,coral_1,coral,0.0,0.0,,1
80,KubernetesStyleFirstFit,speech-inference,scale_up,15,16,coral_1,coral,0.0,0.0,,1
80,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
80,KubernetesStyleFirstFit,resnet50-training,scale_up,16,17,nx_10,nx,0.0,0.0,,1
80,KubernetesStyleFirstFit,python-pi,scale_up,16,17,nuc_0,nuc,0.0,0.0,,1
80,KubernetesStyleFirstFit,fio,scale_up,16,17,nuc_0,nuc,0.0,0.0,,1
85,KubernetesStyleFirstFit,resnet50-inference,scale_up,17,18,coral_1,coral,0.0,0.0,,1
85,KubernetesStyleFirstFit,speech-inference,scale_up,16,17,coral_1,coral,0.0,0.0,,1
85,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
85,KubernetesStyleFirstFit,resnet50-training,scale_up,17,18,nx_10,nx,0.0,0.0,,1
85,KubernetesStyleFirstFit,python-pi,scale_up,17,18,nuc_0,nuc,0.0,0.0,,1
85,KubernetesStyleFirstFit,fio,scale_up,17,18,nuc_0,nuc,0.0,0.0,,1
90,KubernetesStyleFirstFit,resnet50-inference,scale_up,18,19,coral_1,coral,0.0,0.0,,1
90,KubernetesStyleFirstFit,speech-inference,scale_up,17,18,coral_1,coral,0.0,0.0,,1
90,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
90,KubernetesStyleFirstFit,resnet50-training,scale_up,18,19,nx_10,nx,0.0,0.0,,1
90,KubernetesStyleFirstFit,python-pi,scale_up,18,19,nuc_0,nuc,0.0,0.0,,1
90,KubernetesStyleFirstFit,fio,scale_up,18,19,nuc_0,nuc,0.0,0.0,,1
95,KubernetesStyleFirstFit,resnet50-inference,scale_up,19,20,coral_1,coral,0.0,0.0,,1
95,KubernetesStyleFirstFit,speech-inference,scale_up,18,19,coral_1,coral,0.0,0.0,,1
95,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,3.0,0.0,Within thresholds,0
95,KubernetesStyleFirstFit,resnet50-training,scale_up,19,20,nx_10,nx,0.0,0.0,,1
95,KubernetesStyleFirstFit,python-pi,scale_up,19,20,nuc_0,nuc,0.0,0.0,,1
95,KubernetesStyleFirstFit,fio,scale_up,19,20,nuc_0,nuc,0.0,0.0,,1
100,KubernetesStyleFirstFit,resnet50-inference,scale_up,20,21,coral_1,coral,0.0,0.0,,1
100,KubernetesStyleFirstFit,speech-inference,scale_up,19,20,coral_1,coral,0.0,0.0,,1
100,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.8,0.0,Within thresholds,0
100,KubernetesStyleFirstFit,resnet50-training,scale_up,20,21,nx_10,nx,0.0,0.0,,1
100,KubernetesStyleFirstFit,python-pi,scale_up,20,21,nuc_0,nuc,0.0,0.0,,1
100,KubernetesStyleFirstFit,fio,scale_up,20,21,nuc_0,nuc,0.0,0.0,,1
105,KubernetesStyleFirstFit,resnet50-inference,scale_up,21,22,coral_1,coral,0.0,0.0,,1
105,KubernetesStyleFirstFit,speech-inference,scale_up,20,21,coral_1,coral,0.0,0.0,,1
105,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.8,0.0,Within thresholds,0
105,KubernetesStyleFirstFit,resnet50-training,scale_up,21,22,nx_10,nx,0.0,0.0,,1
105,KubernetesStyleFirstFit,python-pi,scale_up,21,22,nuc_0,nuc,0.0,0.0,,1
105,KubernetesStyleFirstFit,fio,scale_up,21,22,nuc_0,nuc,0.0,0.0,,1
110,KubernetesStyleFirstFit,resnet50-inference,scale_up,22,23,coral_1,coral,0.0,622.8626194044164,,1
110,KubernetesStyleFirstFit,speech-inference,scale_up,21,22,coral_1,coral,0.0,10920.38369879393,,1
110,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.6,0.0,Within thresholds,0
110,KubernetesStyleFirstFit,resnet50-training,scale_up,22,23,nx_10,nx,0.0,0.0,,1
110,KubernetesStyleFirstFit,python-pi,scale_up,22,23,nuc_0,nuc,0.0,13009.07330618848,,1
110,KubernetesStyleFirstFit,fio,scale_up,22,23,nuc_0,nuc,0.0,0.0,,1
115,KubernetesStyleFirstFit,resnet50-inference,scale_up,23,24,coral_1,coral,0.0,0.0,,1
115,KubernetesStyleFirstFit,speech-inference,scale_up,22,23,coral_1,coral,0.0,0.0,,1
115,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.6,0.0,Within thresholds,0
115,KubernetesStyleFirstFit,resnet50-training,scale_up,23,24,nx_10,nx,0.0,0.0,,1
115,KubernetesStyleFirstFit,python-pi,scale_up,23,24,nuc_0,nuc,0.0,0.0,,1
115,KubernetesStyleFirstFit,fio,scale_up,23,24,nuc_0,nuc,0.0,0.0,,1
120,KubernetesStyleFirstFit,resnet50-inference,scale_up,24,25,coral_1,coral,0.0,0.0,,1
120,KubernetesStyleFirstFit,speech-inference,scale_up,23,24,coral_1,coral,0.0,0.0,,1
120,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.4,0.0,Within thresholds,0
120,KubernetesStyleFirstFit,resnet50-training,scale_up,24,25,nx_10,nx,0.0,0.0,,1
120,KubernetesStyleFirstFit,python-pi,scale_up,24,25,nuc_0,nuc,0.0,0.0,,1
120,KubernetesStyleFirstFit,fio,scale_up,24,25,nuc_0,nuc,0.0,0.0,,1
125,KubernetesStyleFirstFit,resnet50-inference,scale_up,25,26,coral_1,coral,0.0,0.0,,1
125,KubernetesStyleFirstFit,speech-inference,scale_up,24,25,coral_1,coral,0.0,0.0,,1
125,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.4,0.0,Within thresholds,0
125,KubernetesStyleFirstFit,resnet50-training,scale_up,25,26,nx_10,nx,0.0,0.0,,1
125,KubernetesStyleFirstFit,python-pi,scale_up,25,26,nuc_0,nuc,0.0,0.0,,1
125,KubernetesStyleFirstFit,fio,scale_up,25,26,nuc_0,nuc,0.0,0.0,,1
130,KubernetesStyleFirstFit,resnet50-inference,scale_up,26,27,coral_1,coral,0.0,0.0,,1
130,KubernetesStyleFirstFit,speech-inference,scale_up,25,26,coral_1,coral,0.0,0.0,,1
130,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.2,0.0,Within thresholds,0
130,KubernetesStyleFirstFit,resnet50-training,scale_up,26,27,nx_10,nx,0.0,0.0,,1
130,KubernetesStyleFirstFit,python-pi,scale_up,26,27,nuc_0,nuc,0.0,0.0,,1
130,KubernetesStyleFirstFit,fio,scale_up,26,27,nuc_0,nuc,0.0,0.0,,1
135,KubernetesStyleFirstFit,resnet50-inference,scale_up,27,28,coral_1,coral,0.0,0.0,,1
135,KubernetesStyleFirstFit,speech-inference,scale_up,26,27,coral_1,coral,0.0,0.0,,1
135,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
135,KubernetesStyleFirstFit,resnet50-training,scale_up,27,28,nx_10,nx,0.0,0.0,,1
135,KubernetesStyleFirstFit,python-pi,scale_up,27,28,nuc_0,nuc,0.0,0.0,,1
135,KubernetesStyleFirstFit,fio,scale_up,27,28,nuc_0,nuc,0.0,0.0,,1
140,KubernetesStyleFirstFit,resnet50-inference,scale_up,28,29,coral_1,coral,0.0,0.0,,1
140,KubernetesStyleFirstFit,speech-inference,scale_up,27,28,coral_1,coral,0.0,0.0,,1
140,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,1.8,0.0,Within thresholds,0
140,KubernetesStyleFirstFit,resnet50-training,scale_up,28,29,nx_10,nx,0.0,0.0,,1
140,KubernetesStyleFirstFit,python-pi,scale_up,28,29,nuc_0,nuc,0.0,0.0,,1
140,KubernetesStyleFirstFit,fio,scale_up,28,29,nuc_0,nuc,0.0,0.0,,1
145,KubernetesStyleFirstFit,resnet50-inference,scale_up,29,30,coral_1,coral,0.0,693.8680363407587,,1
145,KubernetesStyleFirstFit,speech-inference,scale_up,28,29,coral_1,coral,0.0,5015.8219292237045,,1
145,KubernetesStyleFirstFit,resnet50-preprocessing,no_action,1,1,,,1.8,0.0,Within thresholds,0
145,KubernetesStyleFirstFit,resnet50-training,scale_up,29,30,nx_10,nx,0.0,0.0,,1
