timestamp,node,energy_joules,energy_wh
2.0,rockpi_16,4.08,0.0011333333333333334
2.0,rockpi_14,4.08,0.0011333333333333334
2.0,nx_4,12.59,0.0034972222222222223
2.0,nano_9,2.914,0.0008094444444444444
2.0,nano_12,2.914,0.0008094444444444444
2.0,nano_21,2.914,0.0008094444444444444
2.0,rpi3_21,1.8949999999999998,0.0005263888888888888
2.0,rpi3_22,1.8949999999999998,0.0005263888888888888
2.0,rpi3_23,1.8949999999999998,0.0005263888888888888
2.0,rockpi_10,4.08,0.0011333333333333334
2.0,nx_7,12.59,0.0034972222222222223
2.0,nano_20,2.914,0.0008094444444444444
2.0,rockpi_0,4.08,0.0011333333333333334
2.0,rockpi_28,4.08,0.0011333333333333334
2.0,rpi3_27,1.8949999999999998,0.0005263888888888888
2.0,rpi3_28,1.8949999999999998,0.0005263888888888888
2.0,rpi3_29,1.8949999999999998,0.0005263888888888888
2.0,nx_11,12.59,0.0034972222222222223
2.0,nano_22,2.914,0.0008094444444444444
2.0,rockpi_4,4.08,0.0011333333333333334
2.0,rpi3_0,1.8949999999999998,0.0005263888888888888
2.0,rpi3_1,1.8949999999999998,0.0005263888888888888
2.0,rpi3_2,1.8949999999999998,0.0005263888888888888
2.0,rockpi_23,4.08,0.0011333333333333334
2.0,rockpi_11,4.08,0.0011333333333333334
2.0,rockpi_25,4.08,0.0011333333333333334
2.0,coral_0,2.8899999999999997,0.0008027777777777777
2.0,nano_10,2.914,0.0008094444444444444
2.0,nano_11,2.914,0.0008094444444444444
2.0,nano_28,2.914,0.0008094444444444444
2.0,rockpi_1,4.08,0.0011333333333333334
2.0,rockpi_2,4.08,0.0011333333333333334
2.0,rockpi_3,4.08,0.0011333333333333334
2.0,nano_0,2.914,0.0008094444444444444
2.0,nano_1,2.914,0.0008094444444444444
2.0,nano_2,2.914,0.0008094444444444444
2.0,nano_5,2.914,0.0008094444444444444
2.0,coral_2,2.8899999999999997,0.0008027777777777777
2.0,rockpi_32,4.08,0.0011333333333333334
2.0,rpi3_9,1.8949999999999998,0.0005263888888888888
2.0,rpi3_10,1.8949999999999998,0.0005263888888888888
2.0,rpi3_11,1.8949999999999998,0.0005263888888888888
2.0,nx_5,12.59,0.0034972222222222223
2.0,nx_12,12.59,0.0034972222222222223
2.0,nano_6,2.914,0.0008094444444444444
2.0,nano_7,2.914,0.0008094444444444444
2.0,nano_8,2.914,0.0008094444444444444
2.0,nano_16,2.914,0.0008094444444444444
2.0,nano_27,2.914,0.0008094444444444444
2.0,rockpi_22,4.08,0.0011333333333333334
2.0,rockpi_24,4.08,0.0011333333333333334
2.0,rpi3_15,1.8949999999999998,0.0005263888888888888
2.0,rpi3_16,1.8949999999999998,0.0005263888888888888
2.0,rpi3_17,1.8949999999999998,0.0005263888888888888
2.0,nx_6,12.59,0.0034972222222222223
2.0,nano_14,2.914,0.0008094444444444444
2.0,nano_23,2.914,0.0008094444444444444
2.0,nano_24,2.914,0.0008094444444444444
2.0,rockpi_33,4.08,0.0011333333333333334
2.0,rpi3_33,1.8949999999999998,0.0005263888888888888
2.0,rpi3_34,1.8949999999999998,0.0005263888888888888
2.0,rpi3_35,1.8949999999999998,0.0005263888888888888
2.0,rockpi_15,4.08,0.0011333333333333334
2.0,rpi3_18,1.8949999999999998,0.0005263888888888888
2.0,rpi3_19,1.8949999999999998,0.0005263888888888888
2.0,rpi3_20,1.8949999999999998,0.0005263888888888888
2.0,rpi3_24,1.8949999999999998,0.0005263888888888888
2.0,rpi3_25,1.8949999999999998,0.0005263888888888888
2.0,rpi3_26,1.8949999999999998,0.0005263888888888888
2.0,nx_2,12.59,0.0034972222222222223
2.0,nx_9,12.59,0.0034972222222222223
2.0,rpi3_30,1.8949999999999998,0.0005263888888888888
2.0,rpi3_31,1.8949999999999998,0.0005263888888888888
2.0,rpi3_32,1.8949999999999998,0.0005263888888888888
2.0,rockpi_17,4.08,0.0011333333333333334
2.0,rockpi_20,4.08,0.0011333333333333334
2.0,rockpi_27,4.08,0.0011333333333333334
2.0,rockpi_31,4.08,0.0011333333333333334
2.0,rpi3_6,1.8949999999999998,0.0005263888888888888
2.0,rpi3_7,1.8949999999999998,0.0005263888888888888
2.0,rpi3_8,1.8949999999999998,0.0005263888888888888
2.0,rockpi_26,4.08,0.0011333333333333334
2.0,rockpi_7,4.08,0.0011333333333333334
2.0,nano_13,2.914,0.0008094444444444444
2.0,rockpi_18,4.08,0.0011333333333333334
2.0,rpi3_12,1.8949999999999998,0.0005263888888888888
2.0,rpi3_13,1.8949999999999998,0.0005263888888888888
2.0,rpi3_14,1.8949999999999998,0.0005263888888888888
2.0,rockpi_9,4.08,0.0011333333333333334
2.0,rockpi_29,4.08,0.0011333333333333334
2.0,nx_0,12.59,0.0034972222222222223
2.0,nx_1,12.59,0.0034972222222222223
2.0,nano_25,2.914,0.0008094444444444444
2.0,rockpi_6,4.08,0.0011333333333333334
2.0,nx_8,12.59,0.0034972222222222223
2.0,nano_4,2.914,0.0008094444444444444
3.0,nuc_0,19.52,0.005422222222222222
3.0,rockpi_30,6.4,0.0017777777777777779
3.0,rockpi_8,6.4,0.0017777777777777779
3.0,nx_10,14.6,0.004055555555555555
3.0,nano_3,3.8,0.0010555555555555555
3.0,coral_1,5.779999999999999,0.0016055555555555554
3.0,coral_3,5.779999999999999,0.0016055555555555554
3.0,nuc_1,19.52,0.005422222222222222
3.0,rpi3_3,2.8,0.0007777777777777777
3.0,rpi3_4,3.7899999999999996,0.0010527777777777777
3.0,rpi3_5,3.7899999999999996,0.0010527777777777777
3.0,rockpi_13,8.16,0.002266666666666667
3.0,nx_3,25.18,0.006994444444444445
3.0,nano_17,5.828,0.001618888888888889
3.0,nuc_2,19.52,0.005422222222222222
3.0,rockpi_12,8.16,0.002266666666666667
3.0,rockpi_5,8.16,0.002266666666666667
3.0,nano_15,5.828,0.001618888888888889
3.0,nano_26,5.828,0.001618888888888889
3.0,rockpi_21,8.16,0.002266666666666667
3.0,rockpi_19,8.16,0.002266666666666667
3.0,nx_13,25.18,0.006994444444444445
3.0,nano_18,5.828,0.001618888888888889
3.0,nano_19,5.828,0.001618888888888889
3.0,rockpi_16,8.16,0.002266666666666667
3.0,rockpi_14,8.16,0.002266666666666667
3.0,nx_4,25.18,0.006994444444444445
3.0,nano_9,5.828,0.001618888888888889
3.0,nano_12,5.828,0.001618888888888889
3.0,nano_21,5.828,0.001618888888888889
3.0,rpi3_21,3.7899999999999996,0.0010527777777777777
3.0,rpi3_22,3.7899999999999996,0.0010527777777777777
3.0,rpi3_23,3.7899999999999996,0.0010527777777777777
3.0,rockpi_10,8.16,0.002266666666666667
3.0,nx_7,25.18,0.006994444444444445
3.0,nano_20,5.828,0.001618888888888889
3.0,rockpi_0,8.16,0.002266666666666667
3.0,rockpi_28,8.16,0.002266666666666667
3.0,rpi3_27,3.7899999999999996,0.0010527777777777777
3.0,rpi3_28,3.7899999999999996,0.0010527777777777777
3.0,rpi3_29,3.7899999999999996,0.0010527777777777777
3.0,nx_11,25.18,0.006994444444444445
3.0,nano_22,5.828,0.001618888888888889
3.0,rockpi_4,8.16,0.002266666666666667
3.0,rpi3_0,3.7899999999999996,0.0010527777777777777
3.0,rpi3_1,3.7899999999999996,0.0010527777777777777
3.0,rpi3_2,3.7899999999999996,0.0010527777777777777
3.0,rockpi_23,8.16,0.002266666666666667
3.0,rockpi_11,8.16,0.002266666666666667
3.0,rockpi_25,8.16,0.002266666666666667
3.0,coral_0,5.779999999999999,0.0016055555555555554
3.0,nano_10,5.828,0.001618888888888889
3.0,nano_11,5.828,0.001618888888888889
3.0,nano_28,5.828,0.001618888888888889
3.0,rockpi_1,8.16,0.002266666666666667
3.0,rockpi_2,8.16,0.002266666666666667
3.0,rockpi_3,8.16,0.002266666666666667
3.0,nano_0,5.828,0.001618888888888889
3.0,nano_1,5.828,0.001618888888888889
3.0,nano_2,5.828,0.001618888888888889
3.0,nano_5,5.828,0.001618888888888889
3.0,coral_2,5.779999999999999,0.0016055555555555554
3.0,rockpi_32,8.16,0.002266666666666667
3.0,rpi3_9,3.7899999999999996,0.0010527777777777777
3.0,rpi3_10,3.7899999999999996,0.0010527777777777777
3.0,rpi3_11,3.7899999999999996,0.0010527777777777777
3.0,nx_5,25.18,0.006994444444444445
3.0,nx_12,25.18,0.006994444444444445
3.0,nano_6,5.828,0.001618888888888889
3.0,nano_7,5.828,0.001618888888888889
3.0,nano_8,5.828,0.001618888888888889
3.0,nano_16,5.828,0.001618888888888889
3.0,nano_27,5.828,0.001618888888888889
3.0,rockpi_22,8.16,0.002266666666666667
3.0,rockpi_24,8.16,0.002266666666666667
3.0,rpi3_15,3.7899999999999996,0.0010527777777777777
3.0,rpi3_16,3.7899999999999996,0.0010527777777777777
