value,name,function_id
deploy,resnet50-inference,140561841927984
deploy,speech-inference,140561841929040
deploy,resnet50-preprocessing,140561841946688
deploy,resnet50-training,140561841947504
deploy,python-pi,140561841948704
deploy,fio,140561841949520
