timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
60,KubernetesStyleFirstFit,python-pi,12,101.6,0.0,scaling_check
60,KubernetesStyleFirstFit,fio,12,101.6,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-inference,13,82.6,0.0,scaling_check
65,KubernetesStyleFirstFit,speech-inference,13,20.6,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-training,13,50.2,0.0,scaling_check
65,KubernetesStyleFirstFit,python-pi,13,103.2,0.0,scaling_check
65,KubernetesStyleFirstFit,fio,13,103.2,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-inference,14,83.4,0.0,scaling_check
70,KubernetesStyleFirstFit,speech-inference,14,20.8,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-training,14,50.6,0.0,scaling_check
70,KubernetesStyleFirstFit,python-pi,14,104.2,0.0,scaling_check
70,KubernetesStyleFirstFit,fio,14,104.2,0.0,scaling_check
75,KubernetesStyleFirstFit,resnet50-inference,15,84.0,9543.7611487856,scaling_check
75,KubernetesStyleFirstFit,speech-inference,15,21.0,26426.388031760867,scaling_check
75,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
75,KubernetesStyleFirstFit,resnet50-training,15,51.0,0.0,scaling_check
75,KubernetesStyleFirstFit,python-pi,15,105.0,25318.888294315137,scaling_check
75,KubernetesStyleFirstFit,fio,15,105.0,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-inference,16,83.8,0.0,scaling_check
80,KubernetesStyleFirstFit,speech-inference,16,21.0,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-training,16,51.0,0.0,scaling_check
80,KubernetesStyleFirstFit,python-pi,16,104.8,0.0,scaling_check
80,KubernetesStyleFirstFit,fio,16,104.8,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-inference,17,83.6,0.0,scaling_check
85,KubernetesStyleFirstFit,speech-inference,17,20.8,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-training,17,50.6,0.0,scaling_check
85,KubernetesStyleFirstFit,python-pi,17,104.4,0.0,scaling_check
85,KubernetesStyleFirstFit,fio,17,104.4,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-inference,18,82.4,0.0,scaling_check
90,KubernetesStyleFirstFit,speech-inference,18,20.8,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-training,18,50.2,0.0,scaling_check
90,KubernetesStyleFirstFit,python-pi,18,103.2,0.0,scaling_check
90,KubernetesStyleFirstFit,fio,18,103.2,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-inference,19,81.2,0.0,scaling_check
95,KubernetesStyleFirstFit,speech-inference,19,20.2,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-preprocessing,1,3.0,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-training,19,49.2,0.0,scaling_check
95,KubernetesStyleFirstFit,python-pi,19,101.4,0.0,scaling_check
95,KubernetesStyleFirstFit,fio,19,101.4,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-inference,20,79.4,0.0,scaling_check
100,KubernetesStyleFirstFit,speech-inference,20,19.8,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-training,20,48.2,0.0,scaling_check
100,KubernetesStyleFirstFit,python-pi,20,99.4,0.0,scaling_check
100,KubernetesStyleFirstFit,fio,20,99.4,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-inference,21,77.4,0.0,scaling_check
105,KubernetesStyleFirstFit,speech-inference,21,19.4,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-training,21,46.8,0.0,scaling_check
105,KubernetesStyleFirstFit,python-pi,21,96.4,0.0,scaling_check
105,KubernetesStyleFirstFit,fio,21,96.4,0.0,scaling_check
110,KubernetesStyleFirstFit,resnet50-inference,22,74.6,8285.91799300242,scaling_check
110,KubernetesStyleFirstFit,speech-inference,22,18.6,31343.868483906357,scaling_check
110,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.6,0.0,scaling_check
110,KubernetesStyleFirstFit,resnet50-training,22,45.4,0.0,scaling_check
110,KubernetesStyleFirstFit,python-pi,22,93.4,30939.73835227961,scaling_check
110,KubernetesStyleFirstFit,fio,22,93.4,0.0,scaling_check
115,KubernetesStyleFirstFit,resnet50-inference,23,71.6,0.0,scaling_check
115,KubernetesStyleFirstFit,speech-inference,23,18.0,0.0,scaling_check
115,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.6,0.0,scaling_check
115,KubernetesStyleFirstFit,resnet50-training,23,43.6,0.0,scaling_check
115,KubernetesStyleFirstFit,python-pi,23,89.6,0.0,scaling_check
115,KubernetesStyleFirstFit,fio,23,89.6,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-inference,24,68.4,0.0,scaling_check
120,KubernetesStyleFirstFit,speech-inference,24,17.0,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.4,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-training,24,41.4,0.0,scaling_check
120,KubernetesStyleFirstFit,python-pi,24,85.4,0.0,scaling_check
120,KubernetesStyleFirstFit,fio,24,85.4,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-inference,25,65.0,0.0,scaling_check
125,KubernetesStyleFirstFit,speech-inference,25,16.2,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.4,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-training,25,39.4,0.0,scaling_check
125,KubernetesStyleFirstFit,python-pi,25,81.2,0.0,scaling_check
125,KubernetesStyleFirstFit,fio,25,81.2,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-inference,26,61.0,0.0,scaling_check
130,KubernetesStyleFirstFit,speech-inference,26,15.4,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.2,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-training,26,37.2,0.0,scaling_check
130,KubernetesStyleFirstFit,python-pi,26,76.2,0.0,scaling_check
130,KubernetesStyleFirstFit,fio,26,76.2,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-inference,27,57.0,0.0,scaling_check
135,KubernetesStyleFirstFit,speech-inference,27,14.2,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-training,27,34.6,0.0,scaling_check
135,KubernetesStyleFirstFit,python-pi,27,71.4,0.0,scaling_check
135,KubernetesStyleFirstFit,fio,27,71.4,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-inference,28,53.0,0.0,scaling_check
140,KubernetesStyleFirstFit,speech-inference,28,13.2,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-training,28,32.0,0.0,scaling_check
140,KubernetesStyleFirstFit,python-pi,28,66.0,0.0,scaling_check
140,KubernetesStyleFirstFit,fio,28,66.0,0.0,scaling_check
145,KubernetesStyleFirstFit,resnet50-inference,29,48.4,7658.957378088124,scaling_check
145,KubernetesStyleFirstFit,speech-inference,29,12.2,21832.862383448788,scaling_check
145,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
145,KubernetesStyleFirstFit,resnet50-training,29,29.6,0.0,scaling_check
145,KubernetesStyleFirstFit,python-pi,29,60.8,36591.49076927055,scaling_check
145,KubernetesStyleFirstFit,fio,29,60.8,0.0,scaling_check
150,KubernetesStyleFirstFit,resnet50-inference,30,44.2,0.0,scaling_check
150,KubernetesStyleFirstFit,speech-inference,30,11.0,0.0,scaling_check
150,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.6,0.0,scaling_check
150,KubernetesStyleFirstFit,resnet50-training,30,26.8,0.0,scaling_check
150,KubernetesStyleFirstFit,python-pi,30,55.2,0.0,scaling_check
150,KubernetesStyleFirstFit,fio,30,55.2,0.0,scaling_check
155,KubernetesStyleFirstFit,resnet50-inference,31,40.0,0.0,scaling_check
155,KubernetesStyleFirstFit,speech-inference,31,10.0,0.0,scaling_check
155,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.4,0.0,scaling_check
155,KubernetesStyleFirstFit,resnet50-training,31,24.2,0.0,scaling_check
155,KubernetesStyleFirstFit,python-pi,31,49.8,0.0,scaling_check
155,KubernetesStyleFirstFit,fio,31,49.8,0.0,scaling_check
160,KubernetesStyleFirstFit,resnet50-inference,32,35.4,0.0,scaling_check
160,KubernetesStyleFirstFit,speech-inference,32,8.8,0.0,scaling_check
160,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.2,0.0,scaling_check
160,KubernetesStyleFirstFit,resnet50-training,32,21.6,0.0,scaling_check
160,KubernetesStyleFirstFit,python-pi,32,44.4,0.0,scaling_check
160,KubernetesStyleFirstFit,fio,32,44.4,0.0,scaling_check
165,KubernetesStyleFirstFit,resnet50-inference,33,31.2,0.0,scaling_check
165,KubernetesStyleFirstFit,speech-inference,33,7.8,0.0,scaling_check
165,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.2,0.0,scaling_check
165,KubernetesStyleFirstFit,resnet50-training,33,18.8,0.0,scaling_check
165,KubernetesStyleFirstFit,python-pi,33,38.8,0.0,scaling_check
165,KubernetesStyleFirstFit,fio,33,38.8,0.0,scaling_check
170,KubernetesStyleFirstFit,resnet50-inference,34,26.8,0.0,scaling_check
170,KubernetesStyleFirstFit,speech-inference,34,6.8,0.0,scaling_check
170,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.0,0.0,scaling_check
170,KubernetesStyleFirstFit,resnet50-training,34,16.4,0.0,scaling_check
170,KubernetesStyleFirstFit,python-pi,34,33.8,0.0,scaling_check
170,KubernetesStyleFirstFit,fio,34,33.8,0.0,scaling_check
175,KubernetesStyleFirstFit,resnet50-inference,35,23.0,0.0,scaling_check
175,KubernetesStyleFirstFit,speech-inference,35,5.8,0.0,scaling_check
175,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.8,0.0,scaling_check
175,KubernetesStyleFirstFit,resnet50-training,35,14.0,0.0,scaling_check
175,KubernetesStyleFirstFit,python-pi,35,28.6,0.0,scaling_check
175,KubernetesStyleFirstFit,fio,35,28.6,0.0,scaling_check
180,KubernetesStyleFirstFit,resnet50-inference,36,19.2,13111.206795353191,scaling_check
180,KubernetesStyleFirstFit,speech-inference,36,4.8,18596.675029425394,scaling_check
180,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.8,0.0,scaling_check
180,KubernetesStyleFirstFit,resnet50-training,36,11.6,0.0,scaling_check
180,KubernetesStyleFirstFit,python-pi,36,24.0,54855.56767792566,scaling_check
180,KubernetesStyleFirstFit,fio,36,24.0,0.0,scaling_check
185,KubernetesStyleFirstFit,resnet50-inference,37,15.6,0.0,scaling_check
185,KubernetesStyleFirstFit,speech-inference,37,4.0,0.0,scaling_check
185,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.6,0.0,scaling_check
185,KubernetesStyleFirstFit,resnet50-training,37,9.4,0.0,scaling_check
185,KubernetesStyleFirstFit,python-pi,37,19.4,0.0,scaling_check
185,KubernetesStyleFirstFit,fio,37,19.4,0.0,scaling_check
190,KubernetesStyleFirstFit,resnet50-inference,38,12.4,0.0,scaling_check
190,KubernetesStyleFirstFit,speech-inference,37,3.0,0.0,scaling_check
190,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.4,0.0,scaling_check
190,KubernetesStyleFirstFit,resnet50-training,38,7.6,0.0,scaling_check
190,KubernetesStyleFirstFit,python-pi,38,15.6,0.0,scaling_check
190,KubernetesStyleFirstFit,fio,38,15.6,0.0,scaling_check
195,KubernetesStyleFirstFit,resnet50-inference,39,9.4,0.0,scaling_check
