timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,resnet50-inference-downtown,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,resnet50-inference-suburb,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,resnet50-inference-industrial,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,resnet50-inference-residential,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,speech-inference,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,speech-inference-downtown,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,speech-inference-suburb,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,speech-inference-industrial,scale_up,1,2,coral_0,coral,20.5,480.0,,1
5,LowPowerLongTimeBinPacker,resnet50-preprocessing,scale_up,1,2,coral_0,coral,10.25,400.0,,1
5,LowPowerLongTimeBinPacker,resnet50-preprocessing-downtown,scale_up,1,2,coral_0,coral,10.25,400.0,,1
5,LowPowerLongTimeBinPacker,resnet50-preprocessing-suburb,scale_up,1,2,coral_0,coral,10.25,400.0,,1
5,LowPowerLongTimeBinPacker,resnet50-preprocessing-industrial,scale_up,1,2,coral_0,coral,10.25,400.0,,1
5,LowPowerLongTimeBinPacker,resnet50-training,scale_up,1,2,coral_0,coral,15.374999999999998,600.0,,1
5,LowPowerLongTimeBinPacker,resnet50-training-downtown,scale_up,1,2,coral_0,coral,15.374999999999998,600.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference-downtown,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference-suburb,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference-industrial,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,resnet50-inference-residential,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,speech-inference,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,speech-inference-downtown,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,speech-inference-suburb,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,speech-inference-industrial,scale_up,2,3,coral_0,coral,21.0,480.0,,1
10,LowPowerLongTimeBinPacker,resnet50-preprocessing,scale_up,2,3,coral_0,coral,10.5,400.0,,1
10,LowPowerLongTimeBinPacker,resnet50-preprocessing-downtown,scale_up,2,3,coral_0,coral,10.5,400.0,,1
10,LowPowerLongTimeBinPacker,resnet50-preprocessing-suburb,scale_up,2,3,coral_0,coral,10.5,400.0,,1
10,LowPowerLongTimeBinPacker,resnet50-preprocessing-industrial,scale_up,2,3,coral_0,coral,10.5,400.0,,1
10,LowPowerLongTimeBinPacker,resnet50-training,scale_up,2,3,coral_0,coral,15.75,600.0,,1
10,LowPowerLongTimeBinPacker,resnet50-training-downtown,scale_up,2,3,coral_0,coral,15.75,600.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference-downtown,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference-suburb,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference-industrial,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,resnet50-inference-residential,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,speech-inference,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,speech-inference-downtown,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,speech-inference-suburb,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,speech-inference-industrial,scale_up,3,4,coral_0,coral,21.5,480.0,,1
15,LowPowerLongTimeBinPacker,resnet50-preprocessing,scale_up,3,4,coral_0,coral,10.75,400.0,,1
15,LowPowerLongTimeBinPacker,resnet50-preprocessing-downtown,scale_up,3,4,coral_0,coral,10.75,400.0,,1
15,LowPowerLongTimeBinPacker,resnet50-preprocessing-suburb,scale_up,3,4,coral_0,coral,10.75,400.0,,1
15,LowPowerLongTimeBinPacker,resnet50-preprocessing-industrial,scale_up,3,4,coral_0,coral,10.75,400.0,,1
15,LowPowerLongTimeBinPacker,resnet50-training,scale_up,3,4,coral_0,coral,16.125,600.0,,1
15,LowPowerLongTimeBinPacker,resnet50-training-downtown,scale_up,3,4,coral_0,coral,16.125,600.0,,1
20,LowPowerLongTimeBinPacker,resnet50-inference,scale_up,4,5,coral_0,coral,22.0,480.0,,1
20,LowPowerLongTimeBinPacker,resnet50-inference-downtown,scale_up,4,5,coral_0,coral,22.0,480.0,,1
